,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
29,108年01月05日 19時30分50秒,新竹市北區東大路三段465號北側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,120.939624,24.838828
171,108年01月26日 04時35分00秒,新竹市香山區延平路二段817-2號,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.922968,24.808777
267,108年02月14日 21時56分25秒,新竹市香山區食品路口 / 新竹市香山區食品路,死亡1;受傷3,普通重型-機車;大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,120.97043,24.793861
273,108年02月16日 04時48分34秒,新竹市東區中華路一段2巷91弄前0.0公尺,死亡1;受傷0,普通重型-機車,120.987058,24.82203
298,108年02月20日 21時16分10秒,新竹市東區公道五路二段口 / 新竹市東區水源街口,死亡1;受傷0,自用-小客車;普通重型-機車,120.993863,24.804672
365,108年03月07日 18時54分00秒,新竹市香山區景觀大道第332042號燈桿,死亡1;受傷0,自用-小客車;普通重型-機車,120.958259,24.759177
376,108年03月10日 23時58分09秒,新竹市東區光復路一段329-1號,死亡1;受傷0,自用-小客車;普通重型-機車,121.018624,24.78235
497,108年04月05日 05時01分30秒,新竹市北區育英路與中山路431巷,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;其他人-人;其他人-人;其他人-人,120.958128,24.799386
520,108年04月09日 06時02分21秒,新竹市香山區延平路二段口 / 新竹市香山區延平路二段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.940306,24.805105
541,108年04月13日 10時58分00秒,新竹市香山區元培街78號前,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;其他人-人,120.929754,24.786006
600,108年04月26日 07時49分26秒,新竹市香山區南隘路一段第409019號燈桿,死亡1;受傷0,普通重型-機車,120.924716,24.720241
686,108年05月17日 10時12分00秒,新竹市東區光復路一段口 / 新竹市東區光復路一段口,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.024039,24.78134
759,108年06月01日 08時57分16秒,新竹市香山區西濱快速道路北上84.6K慢車道,死亡1;受傷0,普通重型-機車,120.89429,24.741197
824,108年06月13日 03時23分15秒,新竹市北區延平路2段1223-1號,死亡1;受傷0,自用-小客車,120.928485,24.813732
912,108年06月30日 09時44分25秒,新竹市東區千甲路418號,死亡1;受傷0,自用-小客車;普通重型-機車,121.013083,24.806881
947,108年07月08日 14時43分00秒,新竹市北區經國路二段磐石路,死亡1;受傷0,普通重型-機車;自用-小客車,120.958176,24.807809
1022,108年07月25日 14時03分00秒,新竹市香山區西濱公路外側車道北上81.5公里處旁,死亡1;受傷0,普通重型-機車,120.907196,24.759691
1129,108年08月18日 08時24分26秒,新竹市北區中華路二段與自由路口,死亡1;受傷0,計程車-小客車;行人-人,120.97998,24.81401
1354,108年10月04日 05時22分00秒,新竹市北區新竹市東大路、經國路口,死亡1;受傷0,行人-人;自用-小客車,120.96791,24.813699
1361,108年10月05日 12時56分00秒,新竹市東區公道五路三段447號,死亡1;受傷0,自用-小客車;普通重型-機車,120.984161,24.816839
1383,108年10月10日 06時45分00秒,新竹市香山區中華路五段52號,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.927449,24.788216
1395,108年10月11日 15時19分25秒,新竹市北區舊社大橋、528393號燈桿,死亡1;受傷0,普通重型-機車;自用-大貨車,120.98031,24.827317
1485,108年10月28日 11時10分00秒,新竹市東區光復路二段175號對面,死亡1;受傷0,營業用-大貨車;行人-人,120.992194,24.799425
1695,108年12月12日 08時45分00秒,新竹市香山區中華路四段268號對面,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.947231,24.794592
1808,108年12月30日 21時06分00秒,新竹市東區東光路東勝路,死亡1;受傷1,行人-人;普通重型-機車,120.986871,24.80364
