,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1721,108年12月16日 07時33分19秒,臺南市東區裕農路口 / 臺南市東區裕義路口,死亡1;受傷5,自用-大貨車;普通重型-機車;普通重型-機車;自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,120.247871,22.990741
1722,108年12月16日 08時43分00秒,臺南市南區夏林路口 / 臺南市南區五妃街口,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.19519,22.982223
1728,108年12月17日 08時15分05秒,臺南市仁德區一甲里中正路3段355-1號附近,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.257042,22.981525
1740,108年12月19日 11時40分00秒,臺南市新市區新和里中華路1號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,120.29009,23.068092
1757,108年12月21日 11時18分00秒,臺南市官田區隆本里省道臺1線西側 / 臺南市官田區隆本里工業路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.320905,23.195655
1761,108年12月21日 23時18分00秒,臺南市將軍區廣山里區道南312線前2450.0公尺北側,死亡1;受傷0,普通重型-機車,120.121672,23.216253
1763,108年12月22日 10時44分00秒,臺南市新市區港墘里中山路口 / 臺南市新市區港墘里興業路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.302772,23.079082
1768,108年12月23日 16時27分00秒,臺南市柳營區果毅里果毅後60之7號(柳營區165線25.7公里),死亡1;受傷1,普通重型-機車;行人-人,120.372176,23.259262
1771,108年12月23日 21時16分00秒,臺南市永康區國道1號 324公里200.0公尺處南側向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車,120.248027,23.00294
1787,108年12月26日 22時15分00秒,臺南市新營區南興里建業路北側 / 臺南市新營區和平路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.309894,23.298502
1790,108年12月27日 16時14分53秒,臺南市仁德區太子里太子路口 / 臺南市仁德區太子里大發路附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.251473,22.991274
1810,108年12月31日 05時56分00秒,臺南市鹽水區三明里台19線公路北上103公里600公尺處,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用),120.256692,23.302341
1811,108年12月31日 13時39分11秒,臺南市北區北園街124巷10弄21號附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.224139,23.013776
1812,108年12月31日 18時37分00秒,臺南市西港區縣173線 6公里800.0公尺處西側,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;自用-小客車,120.22228,23.140823
