,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
85,108年01月13日 18時05分10秒,南投縣中寮鄉龍南路77-4號,死亡1;受傷1,普通重型-機車;行人-人,120.774332,23.941834
98,108年01月15日 18時15分44秒,南投縣竹山鎮延和里集山路3段南側 / 南投縣竹山鎮延和里鹿山路東側,死亡1;受傷0,自用-小客車;普通輕型-機車,120.693307,23.761296
116,108年01月18日 01時16分50秒,南投縣竹山鎮集山路三段14號前,死亡1;受傷0,普通重型-機車,120.706305,23.767007
144,108年01月23日 16時50分00秒,南投縣埔里鎮仁愛路25號前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.964023,23.967875
188,108年01月29日 17時06分53秒,南投縣埔里鎮樹人路163號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.974874,23.960013
213,108年02月03日 01時43分39秒,南投縣埔里鎮信義路台14線55.95公里處,死亡1;受傷0,自用-大貨車;普通重型-機車,120.961121,23.972355
232,108年02月08日 16時28分35秒,南投縣埔里鎮崇文街、中山路一段口,死亡1;受傷0,自用-小客車;普通重型-機車,120.993608,23.978755
254,108年02月12日 14時34分00秒,南投縣南投市中研路與文獻路口,死亡1;受傷0,民營客運-大客車;普通重型-機車,120.698929,23.935652
275,108年02月16日 13時20分00秒,南投縣埔里鎮福興里福興路68號北側,死亡1;受傷0,農耕用車(或機械)-其他車,120.973822,23.999239
297,108年02月20日 10時35分12秒,南投縣草屯鎮國道6號 5公里西側向交流道,死亡1;受傷0,營業用-半聯結車,120.715685,24.007216
379,108年03月11日 14時00分00秒,南投縣仁愛鄉投89線13公里往翠華村部落便道下方400公尺處,死亡1;受傷1,自用-小客車;乘客-人,121.207868,24.182584
406,108年03月16日 18時30分07秒,南投縣鹿谷鄉鹿谷村中正路2段220號前,死亡1;受傷1,大型重型1(550C.C.以上)-機車;行人-人,120.749767,23.750194
434,108年03月21日 16時51分00秒,南投縣仁愛鄉台14線 82公里100.0公尺處,死亡1;受傷0,普通重型-機車,121.088298,24.004426
440,108年03月22日 18時40分00秒,南投縣草屯鎮國道6號 10公里300.0公尺處東側向外側,死亡2;受傷0,自用-小客車;自用-大貨車;其他人-人;其他人-人,120.728139,24.005675
469,108年03月29日 19時25分45秒,南投縣草屯鎮新豐里新豐路與墩煌路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.676344,24.005284
527,108年04月09日 22時05分38秒,南投縣埔里鎮東門里北環路266號西側,死亡1;受傷1,行人-人;普通重型-機車,120.973049,23.965091
549,108年04月16日 15時25分35秒,南投縣埔里鎮眉溪旁防汛道路守城枝16左分9電桿處,死亡1;受傷1,自用-小客車;乘客-人,120.981448,23.985232
559,108年04月18日 05時10分48秒,南投縣竹山鎮縣149線 10.5公里95.0公尺處北側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.664794,23.678876
718,108年05月23日 20時12分25秒,南投縣鹿谷鄉竹林村田頭巷-後溝湖產業農路,死亡2;受傷0,自用-小客車;乘客-人,120.757222,23.71887
756,108年05月31日 10時06分00秒,南投縣名間鄉南雲路9之30號前附近,死亡1;受傷0,普通重型-機車,120.705246,23.828453
801,108年06月09日 10時01分44秒,南投縣草屯鎮國道6號 7公里700.0公尺處西側向內側,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.728111,24.005685
823,108年06月12日 17時30分00秒,南投縣埔里鎮台21線 48公里800.0公尺處附近向外側,死亡1;受傷0,普通重型-機車;自用-大貨車,120.943803,23.957695
835,108年06月15日 11時09分14秒,南投縣埔里鎮台21線 43公里,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.973651,23.987502
910,108年06月29日 13時33分14秒,南投縣草屯鎮山腳里民權一街109巷口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.683795,23.964878
933,108年07月05日 20時56分56秒,南投縣埔里鎮台21線52.9公里,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.922493,23.928157
959,108年07月10日 19時55分18秒,南投縣草屯鎮加老里芬草路三段98號前,死亡1;受傷0,行人-人;營業用-大貨車,120.660237,23.999173
965,108年07月12日 06時21分22秒,南投縣草屯鎮北勢里玉屏路55之15號,死亡1;受傷0,腳踏自行車-慢車,120.716075,24.003855
977,108年07月14日 18時17分00秒,南投縣名間鄉南田路 近電桿赤水幹158,死亡1;受傷3,普通重型-機車;自用-小客車;普通重型-機車;乘客-人;乘客-人,120.642284,23.867521
987,108年07月16日 18時50分20秒,南投縣草屯鎮御史里中正路1219號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.688349,23.993267
1030,108年07月27日 10時30分15秒,南投縣埔里鎮中華路自強路口,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.974059,23.968269
1035,108年07月28日 05時09分00秒,南投縣名間鄉皮仔寮巷11之2號,死亡1;受傷0,普通重型-機車,120.63291100000001,23.871972
1062,108年08月02日 11時45分00秒,南投縣埔里鎮杷城里東潤路口 / 南投縣埔里鎮杷城里九成街口,死亡1;受傷0,普通重型-機車,120.984999,23.943732
1074,108年08月05日 00時32分26秒,南投縣南投市彰南路一段290巷149弄86號,死亡1;受傷0,普通重型-機車,120.6927,23.890791
1088,108年08月08日 17時09分08秒,南投縣埔里鎮南環路950號旁,死亡1;受傷0,自用-大貨車;自用-大貨車,120.949395,23.96621
1147,108年08月21日 19時25分47秒,南投縣埔里鎮台21線 51公里200.0公尺處附近,死亡1;受傷0,自用-小客車;普通重型-機車,120.928336,23.941105
1154,108年08月23日 14時08分18秒,南投縣竹山鎮中山里鯉南路南側 / 南投縣竹山鎮中山里大智路西側,死亡1;受傷0,自用-小客車;行人-人,120.679658,23.750565
1189,108年08月31日 12時22分00秒,南投縣水里鄉台16線14.7公里處集集往水里,死亡2;受傷0,大型重型1(550C.C.以上)-機車;自用-小客車;乘客-人,120.84495,23.817712
1213,108年09月04日 18時43分21秒,南投縣魚池鄉台21甲線 20公里300.0公尺處,死亡1;受傷0,普通重型-機車,120.899444,23.835318
1227,108年09月07日 17時06分14秒,南投縣名間鄉南雲路12-7號前0.0公尺附近,死亡2;受傷5,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.704908,23.829864
1236,108年09月11日 07時50分13秒,南投縣草屯鎮南埔里中正路344-62號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.719263,23.978962
1251,108年09月13日 23時55分15秒,南投縣國姓鄉台14線 41公里,死亡1;受傷0,普通重型-機車,120.848494,24.01158
1254,108年09月14日 03時58分00秒,南投縣名間鄉彰南路252號前,死亡1;受傷0,普通重型-機車,120.696282,23.851194
1259,108年09月14日 17時10分00秒,南投縣國姓鄉縣147線 5公里附近向中線,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-小貨車(含客、貨兩用),120.85888,23.95257
1314,108年09月26日 16時25分00秒,南投縣仁愛鄉台8線 100公里500.0公尺處附近,死亡1;受傷0,普通重型-機車,121.299022,24.228687
1327,108年09月30日 16時40分14秒,南投縣竹山鎮福興里鯉南路137號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.666934,23.728272
1370,108年10月07日 13時16分13秒,南投縣南投市鳳鳴路鳳山幹59號電桿前,死亡1;受傷2,自用-大貨車;自用-大貨車;乘客-人,120.649825,23.93833
1379,108年10月09日 04時40分00秒,南投縣南投市南崗二路口 / 南投縣南投市平山二路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.674035,23.920575
1386,108年10月10日 11時21分00秒,南投縣仁愛鄉台14線 70公里300.0公尺處東側,死亡1;受傷1,普通重型-機車;租賃車-小客車;乘客-人,121.08018,23.99903
1514,108年11月03日 19時03分20秒,南投縣竹山鎮福興里鯉南路,死亡1;受傷0,自用-小客車,120.66739,23.72633
1515,108年11月04日 11時42分00秒,南投縣集集鎮中集路與中溝農路,死亡1;受傷0,普通重型-機車;計程車-小客車,120.77919,23.824346
1521,108年11月05日 20時37分00秒,南投縣南投市中華路南崗大橋上南投市路燈52024號前,死亡1;受傷0,行人-人;自用-小客車,120.675507,23.94323
1523,108年11月07日 01時00分35秒,南投縣埔里鎮大湳里信義路40號前0.0公尺西側,死亡1;受傷0,普通重型-機車,120.976851,23.973802
1587,108年11月21日 15時22分00秒,南投縣埔里鎮台14線 62公里600.0公尺處,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.96514,23.973307
1597,108年11月23日 09時20分00秒,南投縣國姓鄉台14線 45公里700.0公尺處附近向外側,死亡1;受傷0,普通重型-機車,120.875197,23.983476
1631,108年12月01日 01時20分00秒,南投縣中寮鄉縣139線 48公里北側,死亡1;受傷1,自用-小客車;乘客-人,120.721931,23.892486
1644,108年12月03日 21時05分00秒,南投縣中寮鄉爽文村龍南路與龍草路口附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.758251,23.937264
