,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
44,108年01月01日 01時05分00秒,嘉義市東區民族里垂楊路前0.0公尺,死亡0;受傷1,電動自行車-慢車;普通重型-機車,120.454474,23.474321
88,108年01月01日 02時49分00秒,嘉義市西區光路里健康十八街 / 嘉義市西區光路里順興七街,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.446072,23.457189
93,108年01月01日 03時20分00秒,嘉義市東區興南里南田路前0.0公尺,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.457,23.470370000000003
107,108年01月01日 04時26分00秒,嘉義市東區林森里忠孝路 / 嘉義市東區林森里林森東路,死亡0;受傷1,普通重型-機車,120.4538,23.48635
155,108年01月01日 07時10分00秒,嘉義市東區義教里忠孝路 / 嘉義市東區義教里義教街,死亡0;受傷1,自用-小客車;普通重型-機車,120.450877,23.498293
200,108年01月01日 08時10分00秒,嘉義市東區過溝里民族路 / 嘉義市東區過溝里吳鳳北路,死亡0;受傷1,大型重型2(250-550C.C.)-機車;腳踏自行車-慢車,120.45356100000001,23.476317
242,108年01月01日 09時19分00秒,嘉義市西區自強里興業西路229號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.441,23.46804
434,108年01月01日 13時40分00秒,嘉義市西區新富里康樂街 / 嘉義市西區新富里忠義街,死亡0;受傷1,普通重型-機車;自用-小客車,120.44787099999999,23.474762
580,108年01月01日 16時45分00秒,嘉義市西區永和里垂楊路 / 嘉義市西區永和里力行街,死亡0;受傷1,普通重型-機車;行人-人,120.438138,23.472923
653,108年01月01日 18時12分00秒,嘉義市東區中央里民權路 / 嘉義市東區中央里成仁街,死亡0;受傷1,自用-小客車;普通重型-機車,120.451224,23.482533
759,108年01月01日 20時20分00秒,嘉義市西區西榮里新榮路 / 嘉義市西區西榮里蘭井街,死亡0;受傷1,自用-小客車;普通重型-機車,120.444381,23.476992000000003
965,108年01月02日 07時34分00秒,嘉義市東區中山里新生路 / 嘉義市東區中山里民權路,死亡0;受傷1,普通重型-機車;自用-小客車,120.4609,23.48385
1912,108年01月02日 19時35分00秒,嘉義市東區豐年里興業東路 / 嘉義市東區豐年里吳鳳南路,死亡0;受傷1,自用-小客車;普通重型-機車,120.45419,23.469399
1928,108年01月02日 19時48分00秒,嘉義市東區過溝里民族路前0.0公尺,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.451879,23.476275
2020,108年01月02日 21時30分00秒,嘉義市西區竹圍里友愛路前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.433874,23.482656
2399,108年01月03日 09時15分00秒,嘉義市東區長竹里大雅路2段 / 嘉義市東區長竹里小雅路,死亡0;受傷1,自用-小客車;普通重型-機車,120.46965800000001,23.477731
2470,108年01月03日 10時35分00秒,嘉義市西區保福里竹圍路 / 嘉義市西區保福里八德路,死亡0;受傷1,自用-小客車;普通重型-機車,120.4305,23.4867
2549,108年01月03日 12時10分00秒,嘉義市東區安業里興美六路 / 嘉義市東區安業里順興一路,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.452627,23.45853
2561,108年01月03日 12時21分00秒,嘉義市西區自強里仁愛路 / 嘉義市西區自強里新民路,死亡0;受傷1,自用-小客車;電動自行車-慢車,120.440119,23.466213
2620,108年01月03日 13時37分00秒,嘉義市西區香湖里文化路 / 嘉義市西區香湖里友愛路,死亡0;受傷1,自用-小客車;普通重型-機車,120.445,23.49215
2622,108年01月03日 13時40分00秒,嘉義市東區豐年里吳鳳南路前0.0公尺,死亡0;受傷2,普通重型-機車;普通重型-機車,120.453993,23.473
2690,108年01月03日 15時00分00秒,嘉義市西區福安里四維路187號前0.0公尺,死亡0;受傷1,計程車-小客車;普通重型-機車,120.4272,23.4831
2835,108年01月03日 17時34分00秒,嘉義市東區盧厝里大雅路2段 / 嘉義市東區盧厝里文雅街,死亡0;受傷1,普通重型-機車;自用-小客車,120.481246,23.479945999999998
4039,108年01月04日 18時42分00秒,嘉義市西區保生里世賢路1段 / 嘉義市西區保生里保安二路,死亡0;受傷1,普通重型-機車,120.43,23.494291
4047,108年01月04日 18時48分00秒,嘉義市西區書院里中山路 / 嘉義市西區書院里蘭井街,死亡0;受傷2,電動自行車-慢車;普通重型-機車,120.4401,23.47663
4112,108年01月04日 19時48分00秒,嘉義市東區中庄里忠孝路前0.0公尺,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.451347,23.496831
4150,108年01月04日 20時40分00秒,嘉義市東區北門里博東路 / 嘉義市東區北門里博愛路1段,死亡0;受傷1,普通重型-機車,120.4529,23.49006
4194,108年01月04日 21時37分00秒,嘉義市西區美源里杭州三街 / 嘉義市西區美源里杭州六街,死亡0;受傷1,普通重型-機車;自用-小客車,120.4442,23.466839999999998
4197,108年01月04日 21時40分00秒,嘉義市東區太平里新生路302弄前0.0公尺,死亡0;受傷1,普通重型-機車,120.4607,23.4856
4232,108年01月04日 22時25分00秒,嘉義市西區湖內里湖子內路前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.441347,23.453446
4802,108年01月05日 15時31分00秒,嘉義市東區中央里吳鳳北路 / 嘉義市東區中央里光華路,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.453425,23.477828
5216,108年01月06日 04時41分00秒,嘉義市西區車店里世賢路3段 / 嘉義市西區車店里上海路,死亡0;受傷1,自用-小客車;普通重型-機車,120.434281,23.468601
5405,108年01月06日 11時30分00秒,嘉義市東區朝陽里民族路前0.0公尺,死亡0;受傷1,普通輕型-機車;自用-小客車,120.45736399999998,23.476623
5546,108年01月06日 14時21分00秒,嘉義市西區導明里民生南路 / 嘉義市西區導明里崇文街,死亡0;受傷2,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,120.447092,23.471411
5600,108年01月06日 15時35分00秒,嘉義市西區保安里友愛路前0.0公尺,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.43432,23.488677
5672,108年01月06日 17時08分00秒,嘉義市西區後驛里中興路64號前0.0公尺,死亡0;受傷1,腳踏自行車-慢車;普通重型-機車,120.4387,23.48111
5763,108年01月06日 18時50分00秒,嘉義市西區書院里中正路 / 嘉義市西區書院里西門街,死亡0;受傷1,自用-小客車;普通重型-機車,120.4431,23.478579999999997
5797,108年01月06日 19時40分00秒,嘉義市西區保福里國安三街21號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,120.4293,23.49011
6767,108年01月07日 19時31分00秒,嘉義市西區新富里民族路前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,120.44254099999999,23.475309
6901,108年01月08日 00時26分00秒,嘉義市東區安寮里吳鳳南路 / 嘉義市東區安寮里大業街,死亡0;受傷1,普通重型-機車;普通重型-機車,120.45,23.463597
7179,108年01月08日 09時48分00秒,嘉義市西區福全里北港路前0.0公尺,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,120.43563799999998,23.476454999999998
7202,108年01月08日 10時08分00秒,嘉義市東區芳草里立仁路前0.0公尺,死亡0;受傷3,電動自行車-慢車;普通重型-機車;乘客-人,120.466504,23.465759
7309,108年01月08日 11時53分00秒,嘉義市東區芳草里彌陀路2號前0.0公尺,死亡0;受傷1,普通重型-機車,120.4709,23.46324
7684,108年01月08日 18時07分00秒,嘉義市西區香湖里世賢路1段 / 嘉義市西區香湖里文化路,死亡0;受傷1,自用-小客車;普通重型-機車,120.44541799999999,23.495386
7831,108年01月08日 20時40分00秒,嘉義市東區北門里民權路 / 嘉義市東區北門里成仁街,死亡0;受傷1,自用-小客車;普通重型-機車,120.4512,23.48254
7920,108年01月08日 23時38分00秒,嘉義市西區保安里世賢路1段 / 嘉義市西區保安里世賢路1段,死亡0;受傷1,自用-小客車;普通重型-機車,120.43051100000001,23.493368
8159,108年01月09日 08時24分00秒,嘉義市東區新店里義教街117弄前0.0公尺,死亡0;受傷2,普通輕型-機車;普通重型-機車,120.4662,23.495279999999998
8347,108年01月09日 11時20分00秒,嘉義市東區朝陽里民族路 / 嘉義市東區朝陽里融和街,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.45730400000001,23.476861
8782,108年01月09日 18時30分00秒,嘉義市西區新厝里世賢路1段前0.0公尺,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.44009299999999,23.494547
8968,108年01月09日 21時52分00秒,嘉義市西區美源里興業西路前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.443046,23.468218
9561,108年01月10日 14時05分00秒,嘉義市東區長竹里大雅路2段 / 嘉義市東區長竹里金龍街,死亡0;受傷1,普通重型-機車;自用-小客車,120.46855,23.477329
9808,108年01月10日 17時58分00秒,嘉義市東區後湖里忠孝路前0.0公尺,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.447717,23.505323
9913,108年01月10日 19時31分00秒,嘉義市西區導明里新榮路 / 嘉義市西區導明里成功街,死亡0;受傷1,自用-小客車;普通重型-機車,120.44491200000002,23.472267000000002
10071,108年01月11日 00時01分00秒,嘉義市東區朝陽里垂楊路 / 嘉義市東區朝陽里啟明路,死亡0;受傷1,普通重型-機車;自用-小客車,120.46146999999999,23.474923
10573,108年01月11日 13時40分00秒,嘉義市西區光路里新民路601號前0.0公尺前,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.4402,23.46469
10663,108年01月11日 15時20分00秒,嘉義市西區紅瓦里世賢路3段前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.43416100000002,23.460582000000002
10664,108年01月11日 15時20分00秒,嘉義市東區中央里光華路135號前0.0公尺前,死亡0;受傷1,乘客-人;普通重型-機車;自用-小客車,120.4514,23.4789
10770,108年01月11日 16時54分00秒,嘉義市西區西平里中興路前0.0公尺,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.428339,23.478123
10888,108年01月11日 18時05分00秒,嘉義市東區過溝里吳鳳北路前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.45244299999999,23.476232999999997
10903,108年01月11日 18時11分00秒,嘉義市東區仁義里忠孝路 / 嘉義市東區仁義里新生路,死亡0;受傷1,自用-小客車;自用-小客車;乘客-人,120.452405,23.496123
11117,108年01月11日 21時55分00秒,嘉義市西區書院里蘭井街前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.443634,23.47694
11138,108年01月11日 22時25分00秒,嘉義市東區蘭潭里小雅路 / 嘉義市東區蘭潭里立德街,死亡0;受傷3,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,120.4699,23.47644
11473,108年01月12日 11時45分00秒,嘉義市東區安寮里吳鳳南路 / 嘉義市東區安寮里大業街,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.455225,23.463217999999998
11637,108年01月12日 14時20分00秒,嘉義市西區西榮里民族路 / 嘉義市西區西榮里西榮街,死亡0;受傷1,自用-小客車;自用-小客車;自用-小客車;乘客-人,120.445558,23.475631
11737,108年01月12日 16時10分00秒,嘉義市西區番社里林森西路 / 嘉義市西區番社里民權路,死亡0;受傷1,自用-小客車;普通重型-機車,120.44456299999999,23.481835999999998
11862,108年01月12日 18時06分00秒,嘉義市東區安寮里吳鳳南路547弄前0.0公尺,死亡0;受傷1,普通重型-機車,120.4597,23.461170000000003
11882,108年01月12日 18時25分00秒,嘉義市西區西平里博愛路2段 / 嘉義市西區西平里中興路,死亡0;受傷1,普通重型-機車,120.430755,23.471446
12453,108年01月13日 13時38分00秒,嘉義市東區北門里文化路前0.0公尺,死亡0;受傷3,普通重型-機車;普通重型-機車;自用-小客車;乘客-人,120.449799,23.485744
12496,108年01月13日 14時28分00秒,嘉義市西區竹村里北港路前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,120.395513,23.493052
12651,108年01月13日 17時31分00秒,嘉義市東區太平里新生路 / 嘉義市東區太平里林森東路,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.460247,23.487497
12652,108年01月13日 17時31分00秒,嘉義市東區新店里東義路前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.467301,23.490648999999998
12725,108年01月13日 19時00分00秒,嘉義市西區番社里林森西路前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.444938,23.482057
12792,108年01月13日 20時25分00秒,嘉義市西區竹圍里友愛路 / 嘉義市西區竹圍里友孝路,死亡0;受傷1,自用-小客車;普通重型-機車,120.4349,23.48926
13435,108年01月14日 14時17分00秒,嘉義市西區育英里國華街 / 嘉義市西區育英里崇文街,死亡0;受傷1,普通重型-機車,120.449326,23.471728
13442,108年01月14日 14時24分00秒,嘉義市東區新店里博東路5號前0.0公尺前,死亡0;受傷1,普通重型-機車;自用-小客車,120.46314199999999,23.489877
13508,108年01月14日 15時24分00秒,嘉義市東區荖藤里忠孝路 / 嘉義市東區荖藤里忠孝北街,死亡0;受傷2,普通重型-機車;普通重型-機車,120.441721,23.516092
13713,108年01月14日 18時02分00秒,嘉義市西區港坪里世賢路2段 / 嘉義市西區港坪里大同路,死亡0;受傷1,自用-小客車;普通重型-機車,120.420275,23.475558
13764,108年01月14日 18時32分00秒,嘉義市東區長竹里大雅路2段前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.472398,23.477612
13799,108年01月14日 19時03分00秒,嘉義市東區短竹里彌陀路 / 嘉義市東區短竹里彌陀路,死亡0;受傷1,普通重型-機車;普通重型-機車,120.46289499999999,23.473326
13859,108年01月14日 20時34分00秒,嘉義市東區仁義里忠孝路 / 嘉義市東區仁義里新生路,死亡0;受傷1,自用-小客車;普通重型-機車,120.45,23.496016
13892,108年01月14日 21時25分00秒,嘉義市東區東興里中山路前0.0公尺,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.45726200000001,23.482104999999997
13957,108年01月15日 02時35分00秒,嘉義市東區北門里忠孝路 / 嘉義市東區北門里民權路,死亡0;受傷1,自用-小客車;自用-小客車,120.45392700000001,23.483072
13967,108年01月15日 04時40分00秒,嘉義市東區安業里吳鳳南路 / 嘉義市東區安業里芳安路,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.45471599999999,23.469756
14182,108年01月15日 09時10分00秒,嘉義市西區獅子里民生南路 / 嘉義市西區獅子里南京路,死亡0;受傷1,普通重型-機車;自用-小客車,120.441328,23.455921
14295,108年01月15日 11時07分00秒,嘉義市東區王田里五福街31弄前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.4664,23.48576
14625,108年01月15日 17時09分00秒,嘉義市西區垂楊里新民路前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),120.43974399999999,23.469955
14672,108年01月15日 17時42分00秒,嘉義市西區國華里民生北路 / 嘉義市西區國華里民權路,死亡0;受傷1,普通重型-機車;普通重型-機車,120.446,23.48187
14714,108年01月15日 18時09分00秒,嘉義市東區頂庄里新生路前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.454526,23.495867999999998
14736,108年01月15日 18時24分00秒,嘉義市東區荖藤里忠孝北街前0.0公尺,死亡0;受傷1,自用-小客車;自用-小客車;自用-小客車;乘客-人,120.4428,23.51614
14889,108年01月15日 21時16分00秒,嘉義市西區番社里中山路前0.0公尺,死亡0;受傷3,普通輕型-機車;普通重型-機車;乘客-人,120.44333,23.479352
15057,108年01月16日 07時21分00秒,嘉義市東區朝陽里啟明路 / 嘉義市東區朝陽里朝陽街,死亡0;受傷1,電動自行車-慢車;普通重型-機車;普通重型-機車,120.461615,23.476216
