,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
179,108年01月01日 07時45分00秒,花蓮縣新城鄉嘉新村嘉新路48號前,死亡0;受傷1,普通重型-機車;自用-小客車,121.612389,24.00664
260,108年01月01日 09時54分13秒,花蓮縣花蓮市中山中央路口,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.60179199999999,24.004093
269,108年01月01日 10時07分54秒,花蓮縣秀林鄉台8線 122公里450.0公尺處,死亡0;受傷1,普通重型-機車;自用-小客車,121.36231200000002,24.179547
307,108年01月01日 11時00分01秒,花蓮縣新城鄉光復路西側 / 花蓮縣新城鄉民治街附近,死亡0;受傷1,普通重型-機車;自用-小客車,121.606373,24.031475
340,108年01月01日 11時35分00秒,花蓮縣吉安鄉勝安村中央路3段附近 / 花蓮縣吉安鄉勝安村慈惠一街附近,死亡0;受傷1,自用-小客車;普通重型-機車,121.581538,23.977114999999998
378,108年01月01日 12時25分00秒,花蓮縣花蓮市尚志路16之1號前0.0公尺,死亡0;受傷2,自用-小客車;普通輕型-機車;乘客-人,121.610003,23.988554999999998
439,108年01月01日 13時50分00秒,花蓮縣花蓮市三民街東側 / 花蓮縣花蓮市公園路,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.611282,23.977226
440,108年01月01日 13時50分05秒,花蓮縣壽豐鄉台11線 15公里500.0公尺處北側向機、慢車道,死亡0;受傷2,普通重型-機車;乘客-人,121.593405,23.848879999999998
499,108年01月01日 15時00分54秒,花蓮縣花蓮市尚志路63號前0.0公尺附近,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.61333799999998,24.002016
522,108年01月01日 15時26分00秒,花蓮縣花蓮市國聯一路口 / 花蓮縣花蓮市國興一街口,死亡0;受傷1,普通重型-機車;自用-小客車,121.602598,23.99285
576,108年01月01日 16時41分00秒,花蓮縣吉安鄉永興村復興四街附近 / 花蓮縣吉安鄉永興村復興一街附近,死亡0;受傷1,普通重型-機車;自用-小客車,121.563469,23.942961999999998
618,108年01月01日 17時32分14秒,花蓮縣吉安鄉吉安路2段口 / 花蓮縣吉安鄉中山路3段口,死亡0;受傷2,行人-人;普通重型-機車,121.567302,23.979692
789,108年01月01日 21時30分02秒,花蓮縣壽豐鄉志學村中山路4段61號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,121.534452,23.921833
1146,108年01月02日 09時01分15秒,花蓮縣花蓮市中山路東側 / 花蓮縣花蓮市富國路北側,死亡0;受傷1,自用-小客車;行人-人,121.597691,23.992055
1188,108年01月02日 09時35分51秒,花蓮縣花蓮市中和街口 / 花蓮縣花蓮市成功街口,死亡0;受傷1,自用-小客車;普通重型-機車,121.602019,23.970425
1215,108年01月02日 09時59分00秒,花蓮縣玉里鎮仁愛路2段北側 / 花蓮縣玉里鎮博愛路西側,死亡0;受傷1,自用-小客車;自用-小客車,121.318973,23.336648999999998
1329,108年01月02日 11時42分39秒,花蓮縣壽豐鄉志學村中山路2段238號前50.0公尺附近,死亡0;受傷1,自用-小貨車(含客、貨兩用);租賃車-小客車,121.53006200000002,23.907178
1344,108年01月02日 11時50分19秒,花蓮縣吉安鄉中正路一段仁里橋上北上車道,死亡0;受傷1,自用-小客車;普通重型-機車,121.59321000000001,23.967851
1358,108年01月02日 12時00分02秒,花蓮縣花蓮市富強路裕民路口,死亡0;受傷1,自用-小客車;普通重型-機車,121.59965600000001,23.999682
1413,108年01月02日 12時40分26秒,花蓮縣花蓮市永興路口 / 花蓮縣花蓮市中美三街口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.62548999999999,23.99196
1418,108年01月02日 12時45分00秒,花蓮縣玉里鎮大同路223號前0.0公尺北側,死亡0;受傷1,普通重型-機車,121.312666,23.333594
1458,108年01月02日 13時35分06秒,花蓮縣花蓮市建林街29號附近,死亡0;受傷1,自用-小客車;普通重型-機車,121.59825,23.978747
1597,108年01月02日 16時25分17秒,花蓮縣壽豐鄉志學村中山路3段口 / 花蓮縣壽豐鄉志學村志新街口,死亡0;受傷1,普通重型-機車;自用-小客車,121.530875,23.907817
1704,108年01月02日 17時39分01秒,花蓮縣花蓮市中山路南側 / 花蓮縣花蓮市大同街東側,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.606553,23.980759
1738,108年01月02日 17時51分00秒,花蓮縣花蓮市華泰街西側 / 花蓮縣花蓮市華興街,死亡0;受傷1,普通重型-機車;普通重型-機車,121.619635,24.004433
1822,108年01月02日 18時31分00秒,花蓮縣新城鄉嘉里村福德路1-6號前0.0公尺西側,死亡0;受傷1,電動自行車-慢車;自用-小客車,121.610504,24.016015
1878,108年01月02日 19時11分37秒,花蓮縣新城鄉北埔村光復路口 / 花蓮縣新城鄉北埔村民有街口,死亡0;受傷1,自用-小客車;普通重型-機車,121.604948,24.036068
1905,108年01月02日 19時30分37秒,花蓮縣吉安鄉華興七街口 / 花蓮縣吉安鄉南華五街口,死亡0;受傷2,普通重型-機車;普通重型-機車,121.54933700000001,23.953538
1910,108年01月02日 19時34分35秒,花蓮縣吉安鄉吉安路口 / 花蓮縣吉安鄉慶南四街口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車,121.565004,23.976262
1974,108年01月02日 20時35分17秒,花蓮縣吉安鄉干城村吉安路六段與吉安路六段1巷口,死亡0;受傷1,普通重型-機車;自用-小客車,121.548946,23.951129
1993,108年01月02日 20時53分57秒,花蓮縣吉安鄉東里十一街口 / 花蓮縣吉安鄉東海六街口,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.596822,23.965138
2086,108年01月02日 22時45分00秒,花蓮縣花蓮市中山路503號前0.0公尺東側,死亡0;受傷1,普通重型-機車;自用-小客車,121.60280900000001,23.9851
2195,108年01月03日 07時19分00秒,花蓮縣吉安鄉太昌路口 / 花蓮縣吉安鄉北安街口,死亡0;受傷2,電動輔助自行車-慢車;普通重型-機車,121.58121100000001,23.983964
2313,108年01月03日 08時20分00秒,花蓮縣壽豐鄉志學村中正路口 / 花蓮縣壽豐鄉志學村中正路口,死亡0;受傷1,普通重型-機車;自用-小客車,121.53779899999999,23.905409
2346,108年01月03日 08時37分51秒,花蓮縣吉安鄉仁里一街與仁里一街131巷口,死亡0;受傷1,普通重型-機車;自用-小客車,121.59062800000001,23.971819
2350,108年01月03日 08時40分00秒,花蓮縣花蓮市中山路口 / 花蓮縣花蓮市富祥路口,死亡0;受傷1,普通重型-機車;自用-小客車,121.595491,23.994813
2388,108年01月03日 09時05分36秒,花蓮縣吉安鄉中山路三段與慶豐六街口,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,121.57037199999999,23.978045
2424,108年01月03日 09時48分00秒,花蓮縣玉里鎮台九線289與純柑橋口,死亡0;受傷1,普通重型-機車;自用-小客車,121.31960500000001,23.333997
2431,108年01月03日 09時58分31秒,花蓮縣光復鄉中華路口 / 花蓮縣光復鄉中正路1段口,死亡0;受傷2,普通重型-機車;租賃車-小客車;普通重型-機車,121.422738,23.665917999999998
2511,108年01月03日 11時33分00秒,花蓮縣花蓮市中山路1段北側 / 花蓮縣花蓮市建昌路,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.586548,23.995670999999998
2526,108年01月03日 11時49分00秒,花蓮縣玉里鎮台九線295公里處與193線道交流道口,死亡0;受傷1,自用-小客車;普通重型-機車,121.334174,23.321937
2573,108年01月03日 12時32分06秒,花蓮縣新城鄉大漢村民有與大德街口,死亡0;受傷2,自用-小貨車(含客、貨兩用);租賃車-小客車;乘客-人,121.61018999999999,24.037702
2791,108年01月03日 16時58分20秒,花蓮縣花蓮市中央路三段707號附近,死亡0;受傷1,自用-小客車;普通重型-機車,121.59360900000001,23.995019
2834,108年01月03日 17時34分00秒,花蓮縣吉安鄉南山五街20巷18號前0.0公尺,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;電動自行車-慢車,121.578452,23.974753
2838,108年01月03日 17時35分00秒,花蓮縣花蓮市國盛一街口 / 花蓮縣花蓮市國興五街口,死亡0;受傷1,計程車-小客車;普通重型-機車,121.60669399999999,23.989034
2900,108年01月03日 18時18分00秒,花蓮縣吉安鄉北昌村自強路532號前5.0公尺,死亡0;受傷2,普通重型-機車;行人-人,121.592207,23.986982
2925,108年01月03日 18時40分38秒,花蓮縣花蓮市國民九街33號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.605576,23.994467
3005,108年01月03日 20時28分00秒,花蓮縣吉安鄉慶豐村中山路3段口 / 花蓮縣吉安鄉慶豐十一街口,死亡0;受傷1,電動自行車-慢車;自用-小客車,121.564939,23.980991
3232,108年01月04日 07時40分00秒,花蓮縣新城鄉嘉里三街附近 / 花蓮縣新城鄉嘉里三街附近,死亡0;受傷1,自用-小客車;普通重型-機車,121.60535800000001,24.021435
3244,108年01月04日 07時41分31秒,花蓮縣吉安鄉吉豐路3段345號,死亡0;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,121.556752,23.949626000000002
3248,108年01月04日 07時43分00秒,花蓮縣花蓮市中華路459號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,121.590251,23.974021
3379,108年01月04日 08時50分17秒,花蓮縣鳳林鎮長沙路南側 / 花蓮縣鳳林鎮長橋路西側,死亡0;受傷1,自用-小客車;普通重型-機車,121.420381,23.712191
3396,108年01月04日 09時01分00秒,花蓮縣壽豐鄉花35縣道與中正路220巷口,死亡0;受傷1,自用-小客車;普通重型-機車,121.54388600000001,23.905195000000003
3418,108年01月04日 09時18分08秒,花蓮縣花蓮市中央路3段826號前0.0公尺,死亡0;受傷2,普通輕型-機車;自用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,121.59208100000001,23.992967999999998
3432,108年01月04日 09時32分18秒,花蓮縣花蓮市尚志橋與尚志路口,死亡0;受傷1,計程車-小客車;普通重型-機車,121.61673799999998,23.981875
3462,108年01月04日 09時59分20秒,花蓮縣花蓮市豐村路138之1號前0.0公尺,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,121.601295,24.011118
3465,108年01月04日 10時00分04秒,花蓮縣花蓮市信義街口 / 花蓮縣花蓮市民國路口,死亡0;受傷2,普通重型-機車;普通重型-機車,121.602378,23.976679
3532,108年01月04日 11時23分00秒,花蓮縣瑞穗鄉祥北路二段149號前,死亡0;受傷1,自用-小貨車(含客、貨兩用),121.351684,23.495166
3591,108年01月04日 12時28分20秒,花蓮縣瑞穗鄉富民村中正路1段223號前0.0公尺,死亡0;受傷2,普通輕型-機車;普通重型-機車,121.375335,23.576280999999998
3597,108年01月04日 12時30分21秒,花蓮縣花蓮市中正路北側 / 花蓮縣花蓮市新港街,死亡0;受傷1,自用-小客車;普通重型-機車,121.60793600000001,23.977638
3602,108年01月04日 12時34分13秒,花蓮縣吉安鄉自立路口 / 花蓮縣吉安鄉自立路,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.596144,23.987499
3658,108年01月04日 13時48分00秒,花蓮縣吉安鄉自立路二段和自立路二段75巷口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.592425,23.983743
3661,108年01月04日 13時48分23秒,花蓮縣吉安鄉吉安路2段口 / 花蓮縣吉安鄉慶北三街,死亡0;受傷1,普通重型-機車;普通重型-機車,121.56841399999999,23.981542
3722,108年01月04日 15時10分00秒,花蓮縣花蓮市中山路口 / 花蓮縣花蓮市中山路口,死亡0;受傷2,普通重型-機車;普通重型-機車,121.60207199999999,23.986325
3743,108年01月04日 15時39分00秒,花蓮縣吉安鄉建國路2段口 / 花蓮縣吉安鄉建國路2段口,死亡0;受傷2,普通重型-機車;普通重型-機車,121.580173,23.990973999999998
3784,108年01月04日 16時22分00秒,花蓮縣壽豐鄉豐山村中山路口 / 花蓮縣壽豐鄉豐山村中山路口,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,121.59326200000001,23.968035
3859,108年01月04日 17時10分10秒,花蓮縣花蓮市民權六街東側 / 花蓮縣花蓮市中美路南側,死亡0;受傷1,電動自行車-慢車;自用-小客車;普通重型-機車,121.62206200000001,23.984766
4118,108年01月04日 19時56分04秒,花蓮縣花蓮市中山路口 / 花蓮縣花蓮市建國路口,死亡0;受傷2,普通重型-機車;電動自行車-慢車,121.60443500000001,23.98329
4152,108年01月04日 20時42分00秒,花蓮縣花蓮市中正路東側 / 花蓮縣花蓮市中山路,死亡0;受傷1,自用-小客車;普通重型-機車,121.60858799999998,23.978041
4235,108年01月04日 22時29分00秒,花蓮縣花蓮市中正路111號前0.0公尺,死亡0;受傷1,普通重型-機車,121.59696399999999,23.970517
4248,108年01月04日 23時00分05秒,花蓮縣吉安鄉北昌村莊敬路東側 / 花蓮縣吉安鄉北昌村自立路南側,死亡0;受傷2,自用-小客車;自用-小客車,121.596364,23.987996
4254,108年01月04日 23時20分00秒,花蓮縣花蓮市軒轅路口 / 花蓮縣花蓮市公園路口,死亡0;受傷1,計程車-小客車;電動自行車-慢車,121.612094,23.977745000000002
4513,108年01月05日 10時17分00秒,花蓮縣玉里鎮中城里中正路15號,死亡0;受傷1,自用-小客車;電動自行車-慢車,121.316468,23.331582
4524,108年01月05日 10時27分18秒,花蓮縣花蓮市林森路口 / 花蓮縣花蓮市林森路口,死亡0;受傷1,普通重型-機車;電動自行車-慢車,121.60186599999999,23.979087
4550,108年01月05日 10時45分00秒,花蓮縣花蓮市節約街30號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.607681,23.978522
4598,108年01月05日 11時30分00秒,花蓮縣玉里鎮興國路附近 / 花蓮縣玉里鎮城南五街附近,死亡0;受傷1,普通重型-機車;自用-小客車,121.32195700000001,23.327432
4633,108年01月05日 11時52分40秒,花蓮縣瑞穗鄉台9線 266公里900.0公尺處南側,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.37841499999999,23.525776999999998
4707,108年01月05日 13時20分00秒,花蓮縣花蓮市光復街87號西側,死亡0;受傷1,自用-小客車;普通重型-機車,121.60561100000001,23.979212
4743,108年01月05日 14時23分00秒,花蓮縣萬榮鄉紅葉村紅葉路附近 / 花蓮縣萬榮鄉紅葉村無名路,死亡0;受傷1,普通重型-機車,121.34263600000001,23.494853
4752,108年01月05日 14時35分00秒,花蓮縣新城鄉嘉新村嘉南一街6號前0.0公尺北側,死亡0;受傷1,普通重型-機車;自用-小客車,121.61338,24.004298000000002
4971,108年01月05日 18時33分01秒,花蓮縣吉安鄉中山路1段168號,死亡0;受傷1,普通重型-機車,121.586754,23.968408
5086,108年01月05日 21時16分00秒,花蓮縣吉安鄉仁里村中正路1段口 / 花蓮縣吉安鄉仁里村東海六街口,死亡0;受傷1,自用-小客車;普通重型-機車,121.593443,23.96779
5212,108年01月06日 04時13分35秒,花蓮縣花蓮市建國路340號前0.0公尺,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車,121.59785600000001,23.984481
5252,108年01月06日 07時28分00秒,花蓮縣秀林鄉文蘭村文蘭16號前,死亡0;受傷1,電動自行車-慢車;自用-小客車,121.506899,23.949011
5264,108年01月06日 07時50分08秒,花蓮縣萬榮鄉明利村明利36號,死亡0;受傷1,自用-小客車,121.40426799999999,23.696126
5373,108年01月06日 10時41分45秒,花蓮縣花蓮市中正路南側 / 花蓮縣花蓮市長安街西側,死亡0;受傷1,自用-小客車;普通重型-機車,121.594632,23.96886
5583,108年01月06日 15時23分00秒,花蓮縣吉安鄉吉興ㄧ街373巷與吉興ㄧ街路口,死亡0;受傷1,普通重型-機車;自用-小客車;乘客-人,121.576687,23.972716000000002
5686,108年01月06日 17時28分00秒,花蓮縣花蓮市中正路北側 / 花蓮縣花蓮市公正街,死亡0;受傷1,自用-小客車;普通重型-機車,121.612792,23.980893
5730,108年01月06日 18時14分14秒,花蓮縣吉安鄉廣賢路2段東側 / 花蓮縣吉安鄉知卡宣大道三段3段南側,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,121.574091,23.943977
5773,108年01月06日 19時09分51秒,花蓮縣花蓮市中山路1段187號前0.0公尺,死亡0;受傷1,腳踏自行車-慢車;普通重型-機車,121.589591,24.002345000000002
6038,108年01月07日 07時52分24秒,花蓮縣吉安鄉南埔八街143號前0.0公尺,死亡0;受傷1,普通輕型-機車;自用-小貨車(含客、貨兩用),121.589798,23.967889000000003
6057,108年01月07日 08時00分38秒,花蓮縣吉安鄉吉安村中興路口 / 花蓮縣吉安鄉吉安村吉興一街口,死亡0;受傷2,普通重型-機車;普通重型-機車,121.57411599999999,23.968916
6195,108年01月07日 10時03分42秒,花蓮縣花蓮市商校街附近 / 花蓮縣花蓮市中山路附近,死亡0;受傷2,普通重型-機車;普通重型-機車,121.599342,23.986632999999998
