,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
67598,108年03月13日 17時27分00秒,宜蘭縣壯圍鄉191縣道與大福路三段(北上路段),死亡0;受傷1,自用-小客車;普通重型-機車,121.78294299999999,24.775308
67635,108年03月13日 18時00分00秒,宜蘭縣冬山鄉群英村義成路三段北側 / 宜蘭縣冬山鄉群英村義成路三段西側,死亡0;受傷1,自用-小客車;普通重型-機車,121.768703,24.669321
67706,108年03月13日 18時52分41秒,宜蘭縣頭城鎮吉祥路280號前,死亡0;受傷1,自用-小貨車(含客、貨兩用),121.810018,24.863182000000002
67769,108年03月13日 20時30分00秒,宜蘭縣冬山鄉富英路南側 / 宜蘭縣冬山鄉八仙二路,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.778397,24.660707000000002
67784,108年03月13日 20時58分01秒,宜蘭縣宜蘭市林森路口 / 宜蘭縣宜蘭市校舍路北側,死亡0;受傷1,計程車-小客車;普通重型-機車,121.757883,24.750216
67824,108年03月13日 22時11分05秒,宜蘭縣礁溪鄉礁溪路2段138號前0.0公尺附近,死亡0;受傷1,普通重型-機車,121.76445700000001,24.798816
67875,108年03月14日 04時56分15秒,宜蘭縣冬山鄉永興路2段前0.0公尺附近,死亡0;受傷1,普通重型-機車,121.756092,24.6594
67878,108年03月14日 05時45分58秒,宜蘭縣頭城鎮青雲路2段627號前0.0公尺,死亡0;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用),121.81278300000001,24.847524
67913,108年03月14日 07時07分08秒,宜蘭縣頭城鎮金面里青雲路2段北側,死亡0;受傷2,普通重型-機車;人力車-慢車,121.81448999999999,24.848605
67943,108年03月14日 07時36分00秒,宜蘭縣羅東鎮公正路口 / 宜蘭縣羅東鎮和平路口,死亡0;受傷1,自用-小客車;普通重型-機車,121.772829,24.677968
68040,108年03月14日 08時40分02秒,宜蘭縣員山鄉七賢村石頭厝路123巷,死亡0;受傷1,普通重型-機車;普通重型-機車,121.726448,24.713739999999998
68058,108年03月14日 09時00分00秒,宜蘭縣蘇澳鎮龍德里福德路400號前0.0公尺口,死亡0;受傷1,普通重型-機車,121.829121,24.646331
68064,108年03月14日 09時05分41秒,宜蘭縣員山鄉深洲路口 / 宜蘭縣員山鄉深洲二路口,死亡0;受傷1,普通重型-機車;普通重型-機車,121.72109099999999,24.712067
68083,108年03月14日 09時30分04秒,宜蘭縣宜蘭市長春路口 / 宜蘭縣宜蘭市復興路2段口,死亡0;受傷1,普通重型-機車;自用-小客車,121.748951,24.748632
68085,108年03月14日 09時32分42秒,宜蘭縣五結鄉五結中路2段265號西側,死亡0;受傷1,自用-小客車;行人-人,121.79678799999999,24.691998
68095,108年03月14日 09時45分37秒,宜蘭縣礁溪鄉玉龍路2段39號附近,死亡0;受傷1,自用-小客車;普通重型-機車,121.787297,24.799607
68184,108年03月14日 11時29分00秒,宜蘭縣宜蘭市同慶街37號前0.0公尺,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,121.752075,24.761398
68185,108年03月14日 11時30分00秒,宜蘭縣宜蘭市林森路前0.0公尺附近,死亡0;受傷1,普通輕型-機車;自用-小貨車(含客、貨兩用),121.759174,24.750773000000002
