,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
136,108年01月21日 19時50分00秒,澎湖縣馬公市縣204線 3公里970.0公尺處西側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.614248,23.550533
186,108年01月29日 14時42分00秒,澎湖縣湖西鄉澎13號道6.9公里處,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,119.635397,23.564895
636,108年05月03日 15時50分00秒,澎湖縣湖西鄉縣203線 7公里460.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,119.613238,23.595639
924,108年07月02日 08時21分00秒,澎湖縣馬公市縣204線 4公里600.0公尺處南側向外側,死亡1;受傷0,普通重型-機車,119.620329,23.548867
1127,108年08月17日 07時37分00秒,澎湖縣七美鄉南港村尖山腳26號前岔路口,死亡1;受傷0,普通重型-機車,119.435344,23.208776
1781,108年12月25日 12時54分00秒,澎湖縣湖西鄉縣202線 7公里200.0公尺處東側向內側,死亡1;受傷0,行人-人;自用-小客車,119.657454,23.584318
