,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
118271,108年05月09日 06時22分41秒,苗栗縣通霄鎮漁港路路燈(編號2403)附近,死亡0;受傷1,普通重型-機車,120.678257,24.492281
118280,108年05月09日 06時49分01秒,苗栗縣苑裡鎮為公路32號前,死亡0;受傷1,自用-小客車;普通輕型-機車,120.65389499999999,24.442601999999997
118312,108年05月09日 07時22分10秒,苗栗縣頭份市蘆竹路69號前,死亡0;受傷1,自用-小客車;自用-小客車;乘客-人,120.883307,24.672164000000002
118315,108年05月09日 07時25分00秒,苗栗縣竹南鎮功明街200號前,死亡0;受傷2,普通重型-機車;普通重型-機車,120.86526200000002,24.687738
118330,108年05月09日 07時30分08秒,苗栗縣竹南鎮照南里延平路口 / 苗栗縣竹南鎮照南里自由街口,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.87705,24.687728
118375,108年05月09日 07時50分00秒,苗栗縣苗栗市為公路和復興路,死亡0;受傷1,普通重型-機車;普通重型-機車,120.835489,24.573074
118571,108年05月09日 11時11分52秒,苗栗縣竹南鎮大埔里科東二路52號,死亡0;受傷1,自用-小客車;普通重型-機車,120.917828,24.705935999999998
118641,108年05月09日 12時35分23秒,苗栗縣苗栗市聯大路(苗30線)2.6公里處,死亡0;受傷2,普通重型-機車;乘客-人,120.80031799999999,24.544269
118653,108年05月09日 12時49分44秒,苗栗縣苗栗市聯大八甲校門旁環山道路,死亡0;受傷1,普通重型-機車;自用-小客車,120.790875,24.535063
118800,108年05月09日 16時22分00秒,苗栗縣頭份市中正一路371號前,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.932949,24.686101
118839,108年05月09日 17時04分00秒,苗栗縣苗栗市復興路南側 / 苗栗縣苗栗市勝利路,死亡0;受傷1,自用-小客車;普通重型-機車,120.82166399999998,24.545721
118845,108年05月09日 17時10分37秒,苗栗縣通霄鎮五北里12鄰108號旁路口,死亡0;受傷1,自用-小客車;自用-小客車,120.67768400000001,24.457685
118865,108年05月09日 17時24分00秒,苗栗縣苗栗市中正路484號前,死亡0;受傷1,自用-小客車;自用-小客車,120.821373,24.559334
118881,108年05月09日 17時40分03秒,苗栗縣銅鑼鄉國道1號 140公里南側向路肩,死亡0;受傷1,自用-小客車,120.787798,24.461485
118896,108年05月09日 17時50分03秒,苗栗縣苑裡鎮為公路35號,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.654045,24.442422
118939,108年05月09日 18時43分00秒,苗栗縣苗栗市府前路苗中側門,死亡0;受傷2,普通重型-機車;行人-人,120.816345,24.558706
118943,108年05月09日 18時48分02秒,苗栗縣後龍鎮大庄里5鄰13號前路口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.79770900000001,24.615502
118950,108年05月09日 18時51分00秒,苗栗縣頭份市顯會路口 / 苗栗縣頭份市中華路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.914791,24.692925
