,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
36,108年01月07日 03時40分00秒,嘉義縣中埔鄉同仁村台3線291公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.514799,23.413987
77,108年01月13日 02時33分00秒,嘉義縣水上鄉國道1號 272公里300.0公尺處南側向中線,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.358876,23.431245
83,108年01月13日 16時50分00秒,嘉義縣民雄鄉菁埔村菁埔1之10號,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.408234,23.558945
145,108年01月23日 17時11分10秒,嘉義縣太保市新埤里台18線道3.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.344306,23.479602
158,108年01月24日 21時15分00秒,嘉義縣六腳鄉六腳村六腳5號前,死亡1;受傷0,普通重型-機車,120.254164,23.506014
173,108年01月26日 13時09分59秒,嘉義縣太保市過溝里瓦厝45之15號前,死亡2;受傷0,自用-小客車;乘客-人,120.350124,23.490907
174,108年01月26日 16時25分12秒,嘉義縣溪口鄉本厝村本廳37號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.38934,23.578046
176,108年01月27日 02時52分00秒,嘉義縣溪口鄉國道1號 252公里830.0公尺處北側向外側,死亡1;受傷1,自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;營業用-半聯結車;乘客-人,120.433908,23.595405
195,108年01月30日 19時59分00秒,嘉義縣太保市新埤里台18線近4KM往東,死亡1;受傷1,普通重型-機車;乘客-人,120.34124,23.478549
203,108年02月01日 15時56分00秒,嘉義縣大林鎮三村里潭墘嘉100線2公里100公尺處,死亡1;受傷0,普通重型-機車,120.478763,23.626782
205,108年02月02日 00時11分00秒,嘉義縣民雄鄉菁埔村164線27公里200公尺處,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人,120.399104,23.558647
214,108年02月04日 05時08分00秒,嘉義縣義竹鄉後鎮村172線5公里300公尺處,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.205795,23.365234
218,108年02月05日 14時44分38秒,嘉義縣六腳鄉蒜頭村村里道路(電桿:蒜頭46分14東3NO799GE50),死亡1;受傷0,普通重型-機車,120.280585,23.500036
247,108年02月11日 12時15分14秒,嘉義縣六腳鄉正義村中溝產業道路(無名橋),死亡1;受傷0,普通輕型-機車;自用-小客車,120.267495,23.502496
274,108年02月16日 07時24分30秒,嘉義縣義竹鄉新店村14鄰275-2號旁產業道路,死亡1;受傷2,自用-小客車;自用-大貨車;乘客-人;乘客-人,120.206927,23.331645
314,108年02月24日 18時29分00秒,嘉義縣番路鄉江西村159甲線8K處,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.512069,23.477265
344,108年03月03日 14時54分37秒,嘉義縣太保市北新里產業道路-燈桿編號:013377號,死亡1;受傷0,普通重型-機車,120.383084,23.502294
354,108年03月05日 20時48分00秒,嘉義縣番路鄉觸口村台18線32.1公里附近,死亡1;受傷0,自用-小客車,120.588605,23.444627
378,108年03月11日 08時40分26秒,嘉義縣鹿草鄉碧潭村頂潭167之2號前,死亡1;受傷0,自用-小客車,120.302513,23.386484
384,108年03月12日 17時03分00秒,嘉義縣東石鄉頂楫村村里道路(頂楫28 分3分9南2西2電桿),死亡1;受傷2,自用-小客車;乘客-人;乘客-人;乘客-人,120.206283,23.492002
394,108年03月14日 14時57分02秒,嘉義縣六腳鄉六南村台19線80.3公里處十字橋便道。,死亡1;受傷1,普通重型-機車;普通重型-機車,120.250541,23.49601
409,108年03月16日 19時50分02秒,嘉義縣東石鄉東崙村59之30號旁產業道路往北100公尺處,死亡1;受傷0,普通重型-機車;拖車(架)-其他車,120.184597,23.436298
449,108年03月25日 16時48分00秒,嘉義縣東石鄉掌潭村台61線平面側車道268.2公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.163194,23.415933
499,108年04月05日 14時17分00秒,嘉義縣朴子市溪口里縣道157線與鄉道嘉46線(口),死亡1;受傷1,腳踏自行車-慢車;自用-小客車,120.278781,23.481178
548,108年04月16日 07時35分00秒,嘉義縣中埔鄉和睦村中山路5段532號前0.0公尺附近,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.468154,23.451212
552,108年04月17日 13時04分00秒,嘉義縣新港鄉月眉村159線與嘉66線路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.359876,23.515577
561,108年04月18日 11時16分00秒,嘉義縣朴子市竹村里台19線與村里道路(口),死亡1;受傷0,自用-小客車;普通重型-機車,120.245532,23.44286
582,108年04月22日 13時24分00秒,嘉義縣東石鄉海埔村嘉7線4公里,死亡1;受傷0,普通重型-機車,120.198863,23.481032
590,108年04月24日 06時02分43秒,嘉義縣竹崎鄉紫雲村台3線與159線路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.537466,23.495106
631,108年05月02日 12時13分00秒,嘉義縣義竹鄉岸腳村163線30公里處,死亡1;受傷0,普通重型-機車,120.261077,23.351511
640,108年05月04日 16時11分29秒,嘉義縣太保市前潭里後潭160之2號前,死亡1;受傷0,自用-大貨車;行人-人,120.346392,23.452237
733,108年05月26日 02時02分00秒,嘉義縣太保市南新里159線道13.4公里附近路口,死亡1;受傷0,自用-小客車;行人-人,120.387749,23.495989
736,108年05月26日 19時11分00秒,嘉義縣水上鄉柳鄉村163線道柳林國小前,死亡1;受傷0,行人-人;自用-小客車,120.415849,23.435514
746,108年05月28日 12時57分00秒,嘉義縣中埔鄉社口村台18線26.5公里,死亡1;受傷1,自用-小客車;遊覽車-大客車,120.539097,23.442888
778,108年06月04日 21時45分00秒,嘉義縣民雄鄉豊收村大民南路口 / 嘉義縣民雄鄉豊收村南華路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.45955,23.570908
829,108年06月14日 06時30分22秒,嘉義縣民雄鄉豐收村電桿好收K2915EA21號,死亡1;受傷1,自用-小客車;自用-小客車,120.451728,23.565359
833,108年06月15日 07時19分00秒,嘉義縣民雄鄉福權村福權625號前,死亡1;受傷0,自用-小客車;行人-人,120.413714,23.55833
840,108年06月16日 16時45分00秒,嘉義縣竹崎鄉灣橋村159線 28公里650公尺處西側向機、慢車道,死亡1;受傷1,普通重型-機車;普通重型-機車,120.51915,23.491536
856,108年06月19日 12時55分00秒,嘉義縣民雄鄉興南村頭橋380號前(166線33公里800公尺處),死亡1;受傷0,普通重型-機車;自用-小客車,120.425176,23.522518
868,108年06月22日 03時15分00秒,嘉義縣大林鎮大美里園區六路10號,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.508123,23.592093
896,108年06月27日 07時03分00秒,嘉義縣朴子市永和里168線8.15公里處與產業道路口,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.225809,23.463171
897,108年06月27日 10時03分00秒,嘉義縣番路鄉觸口村台18線31.8公里,死亡1;受傷0,遊覽車-大客車;大型重型1(550C.C.以上)-機車;遊覽車-大客車,120.584961,23.445727
918,108年07月01日 16時38分00秒,嘉義縣朴子市佳禾里台82線11.6公里西向車道,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,120.259626,23.452256
991,108年07月17日 15時59分00秒,嘉義縣中埔鄉中崙村產業道路20015號路燈處,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.562298,23.377928
1004,108年07月20日 19時01分00秒,嘉義縣太保市麻寮里三合路300號前與雙合街口,死亡1;受傷0,普通重型-機車;自用-小客車,120.371054,23.495994
1020,108年07月24日 21時00分55秒,嘉義縣民雄鄉國道1號 257公里800.0公尺處北側向中線,死亡1;受傷0,其他人-人;自用-小客車;自用-小客車;自用-小客車,120.411974,23.543902
1040,108年07月29日 11時25分00秒,嘉義縣梅山鄉梅北村中山路670號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.546048,23.589308
1058,108年08月02日 04時33分29秒,嘉義縣竹崎鄉昇平村嘉121線道0.5公里北向路肩附近,死亡1;受傷0,普通重型-機車,120.550828,23.481774
1143,108年08月21日 07時52分00秒,嘉義縣朴子市永和里台82線橋下便道,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);營業用-曳引車,120.231034,23.453358
1149,108年08月22日 08時16分34秒,嘉義縣梅山鄉永興村台3線道270.3公里路肩水溝,死亡1;受傷0,普通重型-機車,120.558797,23.56563
1153,108年08月22日 20時16分54秒,嘉義縣六腳鄉正義村台19線81.93公里處北向,死亡1;受傷0,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用),120.246442,23.480875
1203,108年09月03日 15時01分02秒,嘉義縣義竹鄉中平村163線27.1公里,死亡1;受傷0,普通重型-機車,120.275338,23.359776
1209,108年09月04日 15時02分00秒,嘉義縣新港鄉潭大村嘉66線1.4公里處與嘉61線,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.334852,23.530492
1264,108年09月15日 04時28分00秒,嘉義縣新港鄉溪北村台37線與166線路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.326671,23.513948
1292,108年09月19日 17時00分23秒,嘉義縣義竹鄉埤前村172線8.45公里東向車道,死亡1;受傷0,普通重型-機車,120.231666,23.35192
1298,108年09月21日 12時59分00秒,嘉義縣溪口鄉游東村游厝庄產業道路與產業道路口(電桿游東4A-K2326),死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.409735,23.619326
1304,108年09月23日 18時48分00秒,嘉義縣番路鄉民和村沈厝仔2-1號前,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.57479,23.461588
1316,108年09月27日 20時40分00秒,嘉義縣中埔鄉富收村頂六幹51右分18電信幹(嘉139線5.1公里),死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.485012,23.44625
1322,108年09月29日 16時37分00秒,嘉義縣大林鎮三角里嘉100線4公里0公尺處,死亡1;受傷0,自用-小客車,120.493893,23.621611
1374,108年10月08日 03時09分00秒,嘉義縣大林鎮上林里大民北路200號旁產業道路,死亡1;受傷0,普通重型-機車,120.464087,23.58479
1375,108年10月08日 05時55分00秒,嘉義縣六腳鄉蒜頭村嘉57線與蒜頭外環道路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.291853,23.495241
1385,108年10月10日 08時25分00秒,嘉義縣大林鎮排路里162線與嘉98線路口處,死亡1;受傷0,自用-小客車;普通重型-機車,120.429714,23.613588
1393,108年10月11日 07時25分00秒,嘉義縣民雄鄉北斗村覆鼎金12之56號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.460515,23.528633
1401,108年10月12日 16時00分00秒,嘉義縣番路鄉草山村台3線323公里,死亡1;受傷0,普通重型-機車,120.617644,23.341448
1404,108年10月13日 07時35分00秒,嘉義縣水上鄉寬士村崎子頭24之21號旁,死亡1;受傷0,普通重型-機車,120.426345,23.447248
1461,108年10月24日 18時09分39秒,嘉義縣梅山鄉梅北村台3線道267.4公里附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.547777,23.588488
1473,108年10月26日 13時09分00秒,嘉義縣朴子市松華里台19線與170縣道(口),死亡1;受傷0,普通重型-機車;營業用-曳引車,120.24694,23.414329
1501,108年11月01日 12時06分00秒,嘉義縣太保市梅埔里產業道路近電桿春珠41東分999,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.335032,23.438244
1503,108年11月01日 20時10分00秒,嘉義縣東石鄉溪下村嘉9線2.5公里北向一般車道,死亡1;受傷0,自用-小客車;行人-人,120.190018,23.494094
1511,108年11月02日 22時05分29秒,嘉義縣竹崎鄉灣橋村李厝66號,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.52247,23.493398
1522,108年11月06日 09時03分00秒,嘉義縣太保市田尾里產業道路近電桿編號:TS105B50號路口附近,死亡1;受傷0,自用-大貨車;普通重型-機車,120.343894,23.502372
1537,108年11月09日 11時58分00秒,嘉義縣番路鄉內甕村仁義潭環道道路160085號路燈附近,死亡1;受傷0,普通重型-機車,120.523784,23.467205
1574,108年11月19日 17時20分22秒,嘉義縣中埔鄉和美村中山路5段84號前0.0公尺附近,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-大貨車,120.477757,23.451567
1578,108年11月20日 15時58分00秒,嘉義縣中埔鄉石硦村台3線306.2公里,死亡1;受傷0,普通重型-機車,120.539299,23.380677
1630,108年11月30日 23時45分00秒,嘉義縣竹崎鄉和平村台3線278公里500公尺處處),死亡1;受傷1,自用-小客車;乘客-人,120.546163,23.511221
1637,108年12月02日 01時30分00秒,嘉義縣太保市國道1號 267公里200.0公尺處南側向外側,死亡1;受傷0,普通重型-機車;自用-小客車;民營客運-大客車;自用-小客車,120.379089,23.474405
