,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
10,108年01月02日 20時15分00秒,雲林縣元長鄉潭東村135794燈桿前,死亡1;受傷0,普通重型-機車,120.295649,23.640509
11,108年01月03日 03時12分00秒,雲林縣斗南鎮將軍里溫厝角重光國小後方產業道路,死亡1;受傷0,普通重型-機車,120.514651,23.660047
21,108年01月04日 12時53分00秒,雲林縣西螺鎮公館里雲71鄉道近公館橋,死亡1;受傷0,普通重型-機車,120.456418,23.744646
28,108年01月05日 15時00分00秒,雲林縣古坑鄉舊草嶺公路草嶺79號電桿處,死亡1;受傷0,腳踏自行車-慢車,120.688592,23.605456
43,108年01月08日 07時01分00秒,雲林縣西螺鎮七座里產業道路(11068786號電錶處),死亡1;受傷0,自用-小客車;普通重型-機車,120.444405,23.7574
59,108年01月10日 18時50分00秒,雲林縣斗六市明德北路一段398號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.548172,23.718308
60,108年01月11日 05時26分00秒,雲林縣西螺鎮國道1號 230公里800.0公尺處北側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;其他人-人;營業用-大貨車,120.472782,23.775474
92,108年01月14日 17時28分14秒,雲林縣麥寮鄉三盛村工業路590巷,死亡1;受傷1,自用-小客車;普通重型-機車,120.252897,23.795116
120,108年01月18日 12時11分00秒,雲林縣西螺鎮河南里興農西路與頂茄塘路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.435377,23.793404
124,108年01月19日 17時36分05秒,雲林縣麥寮鄉六輕聯絡道,死亡1;受傷0,自用-小客車,120.256692,23.818222
125,108年01月19日 18時43分00秒,雲林縣林內鄉重興村重興185-6號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.574767,23.767547
151,108年01月24日 09時05分10秒,雲林縣口湖鄉過港村過港路124號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.189237,23.569559
157,108年01月24日 19時52分00秒,雲林縣水林鄉雲164公路(水林27號電桿旁),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.237606,23.572009
