,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
3,108年01月01日 16時12分54秒,宜蘭縣大同鄉台7線 98公里200.0公尺處東側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.557064,24.63992
20,108年01月04日 09時45分00秒,宜蘭縣冬山鄉復興路東側 / 宜蘭縣冬山鄉新邦路東側,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.74356,24.670718
61,108年01月11日 09時05分00秒,宜蘭縣蘇澳鎮蘇濱路口 / 宜蘭縣蘇澳鎮馬賽路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.834675,24.6259
87,108年01月13日 19時30分22秒,宜蘭縣冬山鄉珍珠ㄧ路73號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.783773,24.654037
110,108年01月17日 11時35分00秒,宜蘭縣蘇澳鎮台2線 165公里54.0公尺處北側向中線,死亡1;受傷0,自用-小客車;自用-大貨車,121.855657,24.60915
152,108年01月24日 09時45分00秒,宜蘭縣南澳鄉台9丁線15公里900公尺,死亡1;受傷0,營業用-曳引車,121.841555,24.52164
163,108年01月25日 12時05分35秒,宜蘭縣大同鄉樂水村宜51縣道10.5公里前方50公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,121.541854,24.610954
238,108年02月10日 14時39分59秒,宜蘭縣宜蘭市環市東路2段前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,121.771741,24.737391
253,108年02月12日 13時28分08秒,宜蘭縣大同鄉台7線 102公里400.0公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,121.622418,24.683023
265,108年02月14日 16時18分00秒,宜蘭縣南澳鄉信義路陽明巷巷5-5號前0.0公尺東側,死亡2;受傷3,大型重型2(250-550C.C.)-機車;普通重型-機車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,121.791332,24.468289
281,108年02月17日 12時30分00秒,宜蘭縣壯圍鄉忠孝村中央路3段468巷107號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.795658,24.765451
340,108年03月02日 22時03分00秒,宜蘭縣冬山鄉大進路159號前0.0公尺,死亡1;受傷0,自用-小客車,121.717685,24.639353
342,108年03月03日 02時11分07秒,宜蘭縣宜蘭市中山路1段口 / 宜蘭縣宜蘭市公園路南側,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人;自用-小客車,121.759208,24.739932
366,108年03月08日 05時47分00秒,宜蘭縣頭城鎮頭城大橋南端,死亡1;受傷1,自用-小客車;營業用-曳引車;乘客-人,121.816121,24.850102
368,108年03月08日 10時05分00秒,宜蘭縣五結鄉三結一路口 / 宜蘭縣五結鄉三興路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.780696,24.69715
382,108年03月12日 05時37分34秒,宜蘭縣羅東鎮純精路2段口 / 宜蘭縣羅東鎮培英路口,死亡1;受傷0,腳踏自行車-慢車;租賃車-小客車,121.763548,24.677108
420,108年03月19日 02時40分42秒,宜蘭縣頭城鎮北宜路一段路燈桿04846號前,死亡1;受傷0,普通重型-機車,121.796476,24.854119
448,108年03月25日 15時27分00秒,宜蘭縣宜蘭市康樂路附近 / 宜蘭縣宜蘭市舊城東路附近,死亡1;受傷0,自用-小客車;行人-人,121.75578,24.755799
457,108年03月27日 14時30分32秒,宜蘭縣礁溪鄉大忠路前0.0公尺,死亡1;受傷4,自用-小客車;自用-大貨車;乘客-人;乘客-人;乘客-人,121.760551,24.822869
550,108年04月16日 18時00分00秒,宜蘭縣大同鄉台七線100公里700公尺處,死亡1;受傷0,自用-小客車;普通重型-機車,121.712595,24.726688
