,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
169,108年01月25日 19時25分00秒,臺東縣池上鄉縣197線 9公里100.0公尺處附近,死亡1;受傷0,自用-大貨車,121.202091,23.05362
182,108年01月28日 10時00分00秒,臺東縣臺東市大和路91巷前0.0公尺,死亡1;受傷0,普通重型-機車,121.057996,22.704343
193,108年01月30日 16時10分44秒,臺東縣大武鄉台9線 438公里450.0公尺處西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.894115,22.336689
219,108年02月05日 18時15分00秒,臺東縣長濱鄉台11線 84公里100.0公尺處北側向中線,死亡1;受傷0,自用-小客車;行人-人,121.465521,23.34175
223,108年02月06日 16時25分00秒,臺東縣成功鎮台11線 128公里北側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.401682,23.172387
248,108年02月11日 12時32分00秒,臺東縣臺東市東45線6公里300公尺處(利吉大橋上),死亡1;受傷0,普通重型-機車,121.133471,22.807646
307,108年02月22日 18時37分00秒,臺東縣太麻里鄉泰和村臺9線口 / 臺東縣太麻里鄉泰和村太麻里街口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.007676,22.614323
352,108年03月05日 15時12分00秒,臺東縣臺東市中華路1段875號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.142926,22.746667
360,108年03月06日 19時00分00秒,臺東縣臺東市知本路3段337號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.048247,22.707315
461,108年03月28日 11時34分00秒,臺東縣臺東市中興路路6段466號前0.0公尺南側,死亡1;受傷1,自用-小客車;腳踏自行車-慢車,121.064479,22.767826
474,108年03月30日 18時35分00秒,臺東縣大武鄉台9線 438公里南側向內側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.893164,22.339741
513,108年04月07日 19時31分00秒,臺東縣臺東市台11線173.5公里附近(臺東市知本路二段88號前),死亡1;受傷0,自用-小客車;行人-人,121.076701,22.714419
523,108年04月09日 08時00分23秒,臺東縣池上鄉台9線 321公里700.0公尺處南側,死亡1;受傷0,自用-小客車;普通輕型-機車,121.202858,23.107787
606,108年04月27日 08時45分00秒,臺東縣臺東市知本路1段南側 / 臺東縣臺東市知本路1段,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.090673,22.717442
645,108年05月05日 20時12分00秒,臺東縣卑南鄉太平路605之3號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.078617,22.788449
678,108年05月14日 20時04分00秒,臺東縣太麻里鄉三和村產業道路西側 / 臺東縣太麻里鄉三和村臺9線北側,死亡1;受傷0,自用-小客車;行人-人,121.039577,22.674167
699,108年05月18日 14時19分00秒,臺東縣臺東市連航路120號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.121996,22.771428
815,108年06月11日 06時00分00秒,臺東縣臺東市台11線 159公里500.0公尺處,死亡1;受傷0,自用-小客車;自用-曳引車,121.177383,22.77845
837,108年06月15日 21時46分59秒,臺東縣達仁鄉台9線 452公里北側向路肩,死亡1;受傷0,自用-大貨車,120.8482,22.261516
843,108年06月16日 20時42分00秒,臺東縣東河鄉台11線 136公里300.0公尺處北側向中線,死亡1;受傷0,普通重型-機車,121.276196,22.935953
850,108年06月18日 05時40分26秒,臺東縣臺東市知本路2段口 / 臺東縣臺東市雲南路口,死亡1;受傷2,普通重型-機車;自用-小客車;普通重型-機車,121.065992,22.709763
902,108年06月28日 11時05分39秒,臺東縣達仁鄉台坂村台坂路2-1號前0.0公尺南側,死亡1;受傷0,動力機械-其他車;普通重型-機車,120.912992,22.482084
923,108年07月02日 05時50分00秒,臺東縣臺東市志航路1段292號,死亡1;受傷0,普通重型-機車,121.127692,22.7821
1050,108年07月31日 11時00分00秒,臺東縣成功鎮台11線 114公里100.0公尺處南側向中外,死亡1;受傷0,普通重型-機車;租賃車-小客車,121.369674,23.100994
1095,108年08月09日 20時27分00秒,臺東縣臺東市台11線 156公里300.0公尺處,死亡1;受傷1,普通重型-機車;行人-人,121.196388,22.798222
1105,108年08月11日 21時29分00秒,臺東縣臺東市中興路6段700號,死亡2;受傷0,自用-小客車;其他人-人;其他人-人,121.052839,22.76383
1107,108年08月13日 06時56分00秒,臺東縣達仁鄉台9線 443公里600.0公尺處,死亡1;受傷1,自用-小貨車(含客、貨兩用);營業用-半聯結車;乘客-人,120.882409,22.293582
1119,108年08月15日 17時55分00秒,臺東縣東河鄉台23線 38公里700.0公尺處西側向中內,死亡1;受傷1,普通重型-機車;普通重型-機車,121.288566,23.000972
1156,108年08月23日 23時08分00秒,臺東縣東河鄉東河村南東河路111號前0.0公尺南側,死亡1;受傷0,普通重型-機車,121.30182,22.967588
1164,108年08月25日 16時35分00秒,臺東縣成功鎮台11線 107公里300.0公尺處南側向路肩,死亡1;受傷1,自用-小客車;其他人-人,121.401682,23.172387
