,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
964,108年07月12日 02時12分46秒,桃園市八德區廣福路口 / 桃園市八德區廣福路口,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.297045,24.959178
966,108年07月12日 12時35分00秒,桃園市大園區臺61線平面道路北上與桃25線路口,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.210102,25.102301
981,108年07月15日 12時59分00秒,桃園市大園區國際路1段口 / 桃園市大園區圳頭路口,死亡1;受傷0,自用-小客車;行人-人,121.204172,25.076039
985,108年07月16日 12時27分51秒,桃園市中壢區培英路30號號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.224249,24.971841
990,108年07月17日 09時06分00秒,桃園市龍潭區中豐路90號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.213794,24.872726
997,108年07月19日 10時11分37秒,桃園市觀音區草漯里大觀路2段128號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用),121.142045,25.04674
1006,108年07月21日 04時52分10秒,桃園市中壢區延平路口 / 桃園市中壢區中美路口,死亡1;受傷0,行人-人;自用-小客車,121.224573,24.959201
1011,108年07月22日 14時40分39秒,桃園市龜山區振興路58巷對面,死亡1;受傷0,營業用-全聯結車;普通重型-機車,121.350544,25.003648
1023,108年07月25日 19時58分00秒,桃園市平鎮區振興西路口 / 桃園市平鎮區環河路口,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),121.211156,24.946992
1026,108年07月26日 06時17分44秒,桃園市八德區大圳路(介壽路一段600號後門),死亡1;受傷1,普通重型-機車;行人-人,121.300896,24.967968
1055,108年08月01日 08時18分58秒,桃園市平鎮區星友街口 / 桃園市平鎮區星友街口,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,121.254384,24.915986
1063,108年08月02日 12時11分00秒,桃園市桃園區西湖里三民路三段與博愛路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.30599,24.993208
1068,108年08月04日 01時50分35秒,桃園市八德區茄明里中華路192號,死亡1;受傷1,行人-人;普通重型-機車;普通重型-機車,121.278255,24.983798
1075,108年08月05日 19時55分41秒,桃園市大溪區介壽路163號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,121.293871,24.921102
1094,108年08月09日 16時08分00秒,桃園市桃園區復興路13號前0.0公尺北側,死亡1;受傷0,自用-小客車,121.318125,24.990801
1103,108年08月11日 12時00分50秒,桃園市龜山區忠義路3段口 / 桃園市龜山區復興街口,死亡1;受傷0,腳踏自行車-慢車;民營客運-大客車,121.35429,25.057983
1111,108年08月13日 21時52分57秒,桃園市楊梅區秀才路口 / 桃園市楊梅區秀才路口,死亡1;受傷2,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車;乘客-人,121.137771,24.895394
1122,108年08月15日 19時55分00秒,桃園市平鎮區雙連里民族路雙連3段103號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車;自用-小客車,121.177688,24.959013
1126,108年08月17日 04時25分00秒,桃園市中壢區內壢里中華路1段120號前0.0公尺東側,死亡1;受傷0,行人-人;自用-小客車,121.261456,24.973835
1136,108年08月20日 01時47分00秒,桃園市桃園區春日路1308號前0.0公尺,死亡1;受傷0,租賃車-小客車;行人-人,121.30636,25.025483
1141,108年08月20日 21時00分00秒,桃園市大溪區永昌路35-1號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,121.2648,24.902674
1145,108年08月21日 10時53分00秒,桃園市大園區中正東路1段口 / 桃園市大園區大竹南路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.225739,25.041166
1159,108年08月24日 06時40分54秒,桃園市蘆竹區大竹路東側 / 桃園市蘆竹區上竹路東側,死亡3;受傷4,營業用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小客車;自用-小客車;行人-人;行人-人;行人-人;行人-人;行人-人;乘客-人,121.268567,25.018939
1162,108年08月25日 11時50分00秒,桃園市新屋區九斗里九洲路電桿九平幹57前,死亡1;受傷0,普通重型-機車,121.129449,24.957109
1174,108年08月26日 20時50分01秒,桃園市龍潭區中山里中正路81號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,121.215306,24.868198
1244,108年09月12日 22時34分00秒,桃園市龜山區頂湖一街45號前0.0公尺附近,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.364574,25.048768
1246,108年09月13日 06時00分08秒,桃園市觀音區保障里成功路1段282號前0.0公尺附近,死亡1;受傷0,普通重型-機車;拖車(架)-其他車,121.147893,25.052567
1255,108年09月14日 08時08分52秒,桃園市新屋區頭洲里中山東路2段865號前0.0公尺,死亡1;受傷0,普通重型-機車,121.147924,24.96383
1273,108年09月16日 04時10分33秒,桃園市平鎮區民族路雙連3段9號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.183084,24.95912
1278,108年09月17日 04時43分24秒,桃園市蘆竹區南崁路2段3號,死亡1;受傷0,自用-大貨車;自用-小客車,121.280692,25.05606
1279,108年09月17日 07時20分00秒,桃園市楊梅區高上里高上路389巷號前0.0公尺附近,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.15544,24.941517
1320,108年09月29日 11時55分00秒,桃園市龜山區振興路54號前0.0公尺,死亡1;受傷0,普通重型-機車,121.350619,25.003592
1325,108年09月30日 02時51分00秒,桃園市龜山區萬壽路一段路燈編號0803841旁S108090397迴龍所,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.37149,25.010087
1326,108年09月30日 03時59分12秒,桃園市中壢區環中東路636號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.247692,24.956814
1381,108年10月09日 08時28分30秒,桃園市大溪區康莊路口 / 桃園市大溪區月眉路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.286248,24.887539
1390,108年10月10日 23時35分00秒,桃園市桃園區永安路東側 / 桃園市桃園區博愛路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.31037,24.995107
1422,108年10月17日 06時35分00秒,桃園市中壢區月桃路一段(月眉三路)口旁,死亡1;受傷0,自用-小客車,121.180229,25.01332
1443,108年10月20日 17時55分30秒,桃園市龍潭區三水里龍新路三水段55巷前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.160698,24.845156
1453,108年10月22日 16時30分33秒,桃園市龍潭區中豐路口 / 桃園市龍潭區中豐路口,死亡1;受傷1,自用-小客車;行人-人;行人-人,121.211799,24.880271
1455,108年10月23日 02時37分00秒,桃園市中壢區普慶里環中東路667號前0.0公尺東側,死亡1;受傷0,自用-小客車;電動自行車-慢車,121.247057,24.956143
1459,108年10月24日 15時35分00秒,桃園市龜山區華亞三路附近 / 桃園市龜山區樂善街附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.379135,25.035568
1465,108年10月25日 12時50分00秒,桃園市楊梅區電研路36號,死亡1;受傷0,自用-大貨車;普通重型-機車,121.166159,24.951212
1470,108年10月26日 09時44分00秒,桃園市復興區基國派路228號前0.0公尺南側,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,121.338495,24.836286
