,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1009,108年07月21日 16時53分00秒,新北市八里區中華路2段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.404627,25.14914
1033,108年07月27日 22時10分00秒,新北市三重區成功路上橋匝道,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.484458,25.046939
1049,108年07月31日 08時15分00秒,新北市板橋區縣民大道 / 新北市板橋區華興街,死亡1;受傷0,自用-大貨車;普通重型-機車,121.459183,25.008555
1067,108年08月03日 12時55分00秒,新北市五股區疏洪一路 / 新北市五股區疏洪六路,死亡1;受傷1,普通重型-機車;乘客-人,121.458371,25.075385
1077,108年08月06日 06時54分00秒,新北市永和區林森路 / 新北市永和區林森路,死亡1;受傷1,自用-小客車;普通重型-機車;行人-人,121.52397,25.004198
1084,108年08月07日 18時58分00秒,新北市萬里區台2線 / 新北市萬里區玉田路,死亡1;受傷0,計程車-小客車;普通重型-機車,121.691234,25.203859
1085,108年08月07日 23時30分24秒,新北市土城區國道3號 44公里200.0公尺處南側向路肩,死亡1;受傷0,自用-小客車,121.441461,24.966165
1098,108年08月10日 01時00分00秒,新北市板橋區中山路 / 新北市板橋區漢生東路,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.459657,25.007308
1123,108年08月15日 22時14分00秒,新北市新莊區捷運新莊站2號出口,死亡1;受傷1,自用-小客車;行人-人,121.452619,25.036297
1124,108年08月16日 05時40分00秒,新北市新店區中正路 / 新北市新店區中正路,死亡1;受傷0,行人-人;自用-小客車,121.538032,24.972777
1130,108年08月19日 05時49分00秒,新北市新莊區中正路 / 新北市新莊區新北大道7段,死亡1;受傷0,行人-人;自用-小客車,121.41309,25.023816
1152,108年08月22日 17時30分00秒,新北市樹林區環漢路5段前0.0公尺,死亡1;受傷0,普通重型-機車,121.435191,24.995727
1158,108年08月24日 06時09分00秒,新北市金山區臺2線道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.636711,25.222481
1188,108年08月31日 07時01分00秒,新北市永和區福和橋往永和道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.513888,25.007958
1192,108年09月01日 05時08分00秒,新北市板橋區堤外機車專用道路 / 新北市板橋區堤外機車專用道路,死亡1;受傷1,普通重型-機車;行人-人,121.46982,25.036062
