,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
430,108年03月21日 10時30分00秒,高雄市前鎮區同安路 / 高雄市前鎮區衙仁街,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.319363,22.584551
431,108年03月21日 10時58分00秒,高雄市三民區國道1號 364公里400.0公尺處南側向中內,死亡1;受傷1,營業用-半聯結車;自用-大貨車;自用-小客車;營業用-半聯結車;營業用-半聯結車,120.333205,22.656458
436,108年03月22日 05時57分00秒,高雄市鳳山區保成一路 / 高雄市鳳山區南華一路,死亡1;受傷0,動力機械-其他車;普通重型-機車,120.352723,22.591052
443,108年03月24日 03時50分20秒,高雄市仁武區國道1號 360公里878.0公尺處南側向中外,死亡1;受傷4,自用-小客車;自用-小貨車(含客、貨兩用);營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,120.328927,22.706269
450,108年03月25日 19時52分00秒,高雄市大樹區竹寮路竹寮0011燈號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.426989,22.662309
452,108年03月26日 15時31分00秒,高雄市湖內區中山路1段603之2號前0.0公尺,死亡1;受傷0,普通重型-機車,120.239193,22.895506
456,108年03月27日 14時02分00秒,高雄市大寮區鳳屏一路112號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.384903,22.631097
459,108年03月27日 19時20分00秒,高雄市苓雅區成功一路78號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;其他車-其他車;普通重型-機車;普通重型-機車,120.297928,22.613531
465,108年03月29日 07時20分00秒,高雄市湖內區里民族街311巷湖內342燈桿號前0.0公尺,死亡2;受傷0,普通重型-機車;營業用-曳引車;乘客-人,120.235441,22.880059
481,108年03月31日 21時23分00秒,高雄市苓雅區凱旋三路 / 高雄市苓雅區英祥街,死亡1;受傷0,自用-小客車;普通重型-機車,120.326558,22.617219
492,108年04月03日 06時18分00秒,高雄市彌陀區中正南路 / 高雄市彌陀區四維路,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.258515,22.769816
502,108年04月05日 19時20分00秒,高雄市內門區台3省道392公里號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.483197,22.892938
503,108年04月05日 20時37分00秒,高雄市路竹區延平路631號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.2461,22.85737
517,108年04月08日 13時06分00秒,高雄市三民區大裕路 / 高雄市三民區大昌一路,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.3242,22.64861
535,108年04月11日 17時21分00秒,高雄市前鎮區中山三路前0.0公尺,死亡1;受傷0,普通重型-機車;遊覽車-大客車,120.313785,22.599097
544,108年04月13日 19時45分00秒,高雄市左營區民族一路1105號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.319975,22.684958
546,108年04月15日 17時05分00秒,高雄市美濃區忠孝路2巷131號前0.0公尺,死亡1;受傷0,普通重型-機車,120.541862,22.894766
551,108年04月17日 08時54分00秒,高雄市路竹區金平路273巷2號前0.0公尺前,死亡1;受傷0,普通重型-機車;普通重型-機車,120.268,22.86965
557,108年04月17日 18時28分00秒,高雄市路竹區社龍街 / 高雄市路竹區倫理街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.264457,22.862612
563,108年04月19日 08時07分00秒,高雄市仁武區鳳仁路68號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.355316,22.681871
569,108年04月20日 00時10分00秒,高雄市鳳山區武慶二路前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;普通重型-機車;普通重型-機車;自用-小客車;普通重型-機車,120.332658,22.613154
570,108年04月20日 08時15分00秒,高雄市路竹區山線 374.0公里329.0公尺忠孝路平交道,死亡1;受傷0,行人-人;火車-其他車,120.262811,22.849404
576,108年04月21日 13時22分00秒,高雄市三民區九如一路 / 高雄市三民區九如一路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-曳引車,120.30152,22.62716
581,108年04月22日 12時25分00秒,高雄市岡山區國軒路61巷前0.0公尺南側,死亡1;受傷0,普通重型-機車,120.293548,22.780654
586,108年04月23日 15時18分00秒,高雄市橋頭區甲典街 / 高雄市橋頭區豐祥路,死亡1;受傷0,自用-小客車;普通重型-機車,120.276956,22.742717
591,108年04月24日 06時30分00秒,高雄市鳥松區中正路144巷59-1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.364994,22.665564
608,108年04月27日 20時53分00秒,高雄市林園區林內路45號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.40048,22.532525
611,108年04月28日 13時25分00秒,高雄市茄萣區大發路97巷前0.0公尺,死亡1;受傷1,自用-小客車;行人-人;普通重型-機車;普通重型-機車;其他人-人,120.1935,22.86681
618,108年04月29日 06時29分00秒,高雄市大寮區188縣道 / 高雄市大寮區大同街,死亡1;受傷1,自用-小客車;自用-小客車,120.415751,22.586248
638,108年05月04日 05時00分00秒,高雄市岡山區柳橋東路11號前0.0公尺,死亡1;受傷0,拼裝車-其他車;行人-人,120.292881,22.79099
643,108年05月04日 23時43分00秒,高雄市大寮區鳳屏一路 / 高雄市大寮區民貴街,死亡1;受傷1,普通重型-機車;行人-人,120.3853,22.63139
644,108年05月05日 03時09分00秒,高雄市前鎮區中山三路35號前0.0公尺前,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.3106,22.60239
653,108年05月08日 19時52分00秒,高雄市前鎮區德昌路 / 高雄市前鎮區衙孝街,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.317775,22.582432
655,108年05月09日 15時05分00秒,高雄市楠梓區左楠路 / 高雄市楠梓區外環西路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.302842,22.712316
656,108年05月09日 18時07分00秒,高雄市橋頭區甲樹路 / 高雄市橋頭區甲樹路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.297196,22.742261
664,108年05月11日 14時11分00秒,高雄市梓官區和平路96之1號前0.0公尺,死亡1;受傷0,普通重型-機車,120.262148,22.755134
667,108年05月12日 04時57分00秒,高雄市楠梓區後昌路宏毅158燈桿號前0.0公尺前,死亡1;受傷1,普通重型-機車;乘客-人,120.3087,22.71335
685,108年05月17日 09時17分00秒,高雄市大寮區188縣道 / 高雄市大寮區華中路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.428758,22.592332
693,108年05月18日 03時55分00秒,高雄市鳥松區水管路 / 高雄市鳥松區大同路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.375,22.6562
710,108年05月20日 18時58分00秒,高雄市仁武區鳳仁路95-33號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小客車,120.3512,22.68891
715,108年05月22日 21時17分00秒,高雄市彌陀區產業路42之1號前0.0公尺,死亡1;受傷0,普通重型-機車,120.242313,22.790892
