,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
92,108年01月01日 03時04分00秒,彰化縣溪州鄉尾厝村中山路4段443號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,120.510396,23.86599
143,108年01月01日 06時53分00秒,彰化縣和美鎮犁盛里彰新路2段8號前0.0公尺前,死亡0;受傷1,計程車-小客車;行人-人,120.53763400000001,24.093536
192,108年01月01日 08時00分00秒,彰化縣芳苑鄉崙腳村川合路前0.0公尺,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.36568600000001,23.97164
195,108年01月01日 08時05分00秒,彰化縣永靖鄉永西村瑚璉路 / 彰化縣永靖鄉永西村永坡路,死亡0;受傷1,自用-小客車;行人-人,120.546644,23.924091
205,108年01月01日 08時20分00秒,彰化縣埔心鄉義民村員鹿路2段 / 彰化縣埔心鄉義民村忠義北路,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.543375,23.952903
225,108年01月01日 08時53分00秒,彰化縣彰化市長樂里三民路 / 彰化縣彰化市長樂里中正路1段,死亡0;受傷1,自用-小客車;普通重型-機車,120.53902,24.081709
226,108年01月01日 08時53分00秒,彰化縣溪州鄉溪州村俊仁路前0.0公尺,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.49834399999999,23.849079
257,108年01月01日 09時45分00秒,彰化縣員林市中正里林森路 / 彰化縣員林市中正里三民東街,死亡0;受傷1,自用-小客車;普通重型-機車,120.57744299999999,23.959515
262,108年01月01日 09時57分00秒,彰化縣田尾鄉南鎮村光復路1段 / 彰化縣田尾鄉南鎮村平和路1段,死亡0;受傷1,普通重型-機車;自用-小客車,120.558824,23.886943
272,108年01月01日 10時10分00秒,彰化縣北斗鎮七星里神農路 / 彰化縣北斗鎮七星里陶朱路,死亡0;受傷1,自用-小客車;普通重型-機車,120.522648,23.856438
294,108年01月01日 10時40分00秒,彰化縣社頭鄉廣興村中山路1段 / 彰化縣社頭鄉廣興村建國路,死亡0;受傷1,自用-小客車;普通重型-機車,120.58272,23.898538000000002
298,108年01月01日 10時50分00秒,彰化縣二水鄉裕民村員集路3段 / 彰化縣二水鄉裕民村員集路3段,死亡0;受傷1,普通重型-機車;動力機械-其他車,120.619998,23.809365
312,108年01月01日 11時05分00秒,彰化縣大村鄉村上村中山路2段139號前0.0公尺前,死亡0;受傷1,普通重型-機車;自用-小客車,120.566873,23.984572
321,108年01月01日 11時15分00秒,彰化縣彰化市國聖里中山路3段前0.0公尺,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.5808,24.10318
327,108年01月01日 11時22分00秒,彰化縣彰化市光華里光復路 / 彰化縣彰化市光華里民生路,死亡0;受傷1,計程車-小客車;普通重型-機車,120.54267,24.080727
331,108年01月01日 11時26分00秒,彰化縣彰化市成功里南瑤路187號前0.0公尺前,死亡0;受傷2,普通重型-機車;普通輕型-機車,120.539561,24.07039
392,108年01月01日 12時44分00秒,彰化縣彰化市龍山里中山路2段 / 彰化縣彰化市龍山里中山路2段,死亡0;受傷3,腳踏自行車-慢車;普通重型-機車;乘客-人,120.54555400000001,24.080326
395,108年01月01日 12時46分00秒,彰化縣永靖鄉崙美村鳳美路36弄32之2號前0.0公尺北側,死亡0;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.52895,23.924483
417,108年01月01日 13時20分00秒,彰化縣鹿港鎮街尾里彰鹿路8段 / 彰化縣鹿港鎮街尾里青雲路,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.43803999999999,24.049893
428,108年01月01日 13時32分00秒,彰化縣員林市中央里中山路1段82號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.562478,23.944459
445,108年01月01日 13時55分00秒,彰化縣員林市三條里員林大道3段158號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.58651200000001,23.958305
451,108年01月01日 14時00分00秒,彰化縣福興鄉福興村柳橋路7段前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.440233,24.043103
479,108年01月01日 14時30分00秒,彰化縣彰化市向陽里中華西路 / 彰化縣彰化市向陽里崙美路,死亡0;受傷1,自用-小客車;普通重型-機車,120.525687,24.06754
492,108年01月01日 14時51分00秒,彰化縣芳苑鄉建平村草漢路草1段271號前0.0公尺前,死亡0;受傷1,自用-小客車;普通重型-機車,120.38410800000001,23.964131
524,108年01月01日 15時28分00秒,彰化縣社頭鄉橋頭村永興路前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.581053,23.918895000000003
539,108年01月01日 15時45分00秒,彰化縣溪湖鎮湖西里西環路 / 彰化縣溪湖鎮湖西里華中街,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.502123,23.953714
553,108年01月01日 16時00分00秒,彰化縣芬園鄉溪頭村彰南路1段前0.0公尺,死亡0;受傷1,其他人-人;普通重型-機車,120.64408700000001,23.982131
585,108年01月01日 16時55分00秒,彰化縣彰化市莿桐里彰水路207弄前0.0公尺,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,120.515267,24.055683
586,108年01月01日 16時56分00秒,彰化縣二林鎮趙甲里鎮平巷60號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.39193600000002,23.937773
589,108年01月01日 17時09分00秒,彰化縣員林市南平里雙平路195號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,120.567199,23.964439000000002
641,108年01月01日 18時02分00秒,彰化縣溪湖鎮湖西里西環路 / 彰化縣溪湖鎮湖西里二溪路1段,死亡0;受傷1,行人-人;自用-小貨車(含客、貨兩用),120.48319199999999,23.966953
645,108年01月01日 18時05分00秒,彰化縣員林市南平里莒光路 / 彰化縣員林市南平里雙平路,死亡0;受傷1,自用-大貨車;普通重型-機車,120.56674199999999,23.964458
657,108年01月01日 18時14分00秒,彰化縣北斗鎮西安里斗苑路1段 / 彰化縣北斗鎮西安里中華路,死亡0;受傷1,普通重型-機車;電動輔助自行車-慢車,120.518526,23.87282
702,108年01月01日 19時00分00秒,彰化縣鹿港鎮東崎里東昇路 / 彰化縣鹿港鎮東崎里福東路1段,死亡0;受傷1,自用-小客車;普通重型-機車,120.469195,24.054753
