,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
189480,108年07月25日 23時40分44秒,南投縣草屯鎮石川里石川路45之2號旁,死亡0;受傷2,自用-小客車;乘客-人,120.65456,23.992606
189490,108年07月26日 00時30分52秒,南投縣水里鄉南光村民族路113號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;電動自行車-慢車,120.85583500000001,23.809186999999998
189536,108年07月26日 06時43分15秒,南投縣鹿谷鄉仁愛路投58線3公里處,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.78393999999999,23.792407
189537,108年07月26日 06時43分39秒,南投縣南投市彰南路三段崩坎幹25電桿前,死亡0;受傷1,普通重型-機車,120.655928,23.952599
189574,108年07月26日 07時27分01秒,南投縣南投市同源路四街61號,死亡0;受傷1,自用-小客車;行人-人,120.66521399999999,23.92165
189575,108年07月26日 07時28分01秒,南投縣南投市彰南路三段口 / 南投縣南投市順溪南路口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.663075,23.945691
189585,108年07月26日 07時35分00秒,南投縣南投市彰南路2段478號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.67838799999998,23.917711999999998
189745,108年07月26日 09時34分25秒,南投縣草屯鎮土城里中正路北側 / 南投縣草屯鎮土城里中正路西側,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.736622,23.984251
189829,108年07月26日 11時20分00秒,南投縣國姓鄉台21線 22.5公里東側向外側,死亡0;受傷1,大型重型1(550C.C.以上)-機車,120.88008400000001,24.057897
189902,108年07月26日 12時40分00秒,南投縣仁愛鄉台14甲線 20公里500.0公尺處,死亡0;受傷1,普通重型-機車,121.201296,24.107570000000003
189961,108年07月26日 13時53分55秒,南投縣南投市南陽路428號前,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.68223200000001,23.912801
190066,108年07月26日 15時47分00秒,南投縣南投市中興路中一巷巷口,死亡0;受傷3,普通重型-機車;自用-小客車;普通重型-機車;乘客-人,120.692079,23.928147
190120,108年07月26日 16時50分29秒,南投縣草屯鎮富寮里中正路233之19號前,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.72283200000001,23.97949
