縣市,鄉_鎮_市_區,街_路段,火災案件編號,報案時間,到達時間,起火原因,死亡人數,受傷人數
新北市,鶯歌區,尖山埔路,H17A01N1,106-01-01 13:19,106-01-01 13:26,機械設備-不詳,0,0
高雄市,仁武區,橫山二巷,B17A01N4,106-01-01 13:23,106-01-01 13:34,菸蒂,0,0
臺南市,七股區,聖護宮旁空地,G17A01N3,106-01-01 13:25,106-01-01 13:40,遺留火種-其他,0,0
彰化縣,員林市,浮圳路1段,M17A01N1,106-01-01 13:38,106-01-01 13:49,其他-因燃燒雜草、垃圾,0,0
彰化縣,二林鎮,,M17A01N2,106-01-01 13:38,106-01-01 13:45,其他-因燃燒雜草、垃圾,0,0
臺南市,南區,明興路,G17A01N4,106-01-01 13:43,106-01-01 13:52,遺留火種-其他,0,0
臺北市,南港區,研究院路2段,A17A01N2,106-01-01 13:44,106-01-01 13:46,其他,0,0
桃園市,大園區,坑口捷運站附近,I17A01N1,106-01-01 13:45,106-01-01 13:50,其他-因燃燒雜草、垃圾,0,0
臺北市,文山區,景華街,A17A01N1,106-01-01 13:46,106-01-01 13:51,爐火烹調,0,0
彰化縣,福興鄉,,M17A01N3,106-01-01 13:47,106-01-01 14:05,其他-因燃燒雜草、垃圾,0,0
桃園市,大園區,自立一街,I17A01O2,106-01-01 14:02,106-01-01 14:10,其他-因燃燒雜草、垃圾,0,0
高雄市,前鎮區,崗山南街,B17A01O5,106-01-01 14:13,106-01-01 14:19,爐火烹調-油鍋起火,0,0
臺南市,永康區,中山北路,G17A01O1,106-01-01 14:14,106-01-01 14:28,遺留火種-其他,0,0
新北市,瑞芳區,台62下瑞芳交流引道內,H17A01O1,106-01-01 14:22,106-01-01 14:26,其他,0,0
桃園市,大園區,後厝里,I17A01O3,106-01-01 14:27,106-01-01 14:47,其他-因燃燒雜草、垃圾,0,0
桃園市,八德區,新興路,I17A01O4,106-01-01 14:37,106-01-01 14:49,其他-因燃燒雜草、垃圾,0,0
雲林縣,麥寮鄉,新吉村,O17A01O1,106-01-01 14:37,106-01-01 14:54,遺留火種-其他-微火(餘燼),0,0
雲林縣,莿桐鄉,中正路,O17A01O2,106-01-01 14:45,106-01-01 14:52,菸蒂,0,0
臺北市,士林區,至善路2段,A17A01O1,106-01-01 14:47,106-01-01 14:54,菸蒂,0,0
