,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1525,108年11月07日 06時30分00秒,屏東縣枋山鄉台1線 458公里900.0公尺處北側向內側,死亡1;受傷0,普通重型-機車;自用-小客車,120.652989,22.261031
1545,108年11月11日 05時56分00秒,屏東縣屏東市忠孝路699號前0.0公尺,死亡1;受傷0,普通重型-機車,120.489473,22.706039
1599,108年11月23日 20時30分00秒,屏東縣屏東市復興南路二段前0.0公尺北側,死亡1;受傷2,普通重型-機車;電動自行車-慢車;普通重型-機車,120.483791,22.627172
1619,108年11月27日 18時39分00秒,屏東縣瑪家鄉三和村三和(屏37縣道)與美園巷口,死亡1;受傷0,普通重型-機車;自用-小客車,120.603047,22.699106
1624,108年11月29日 04時46分51秒,屏東縣潮州鎮太平路口 / 屏東縣潮州鎮太平路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.529434,22.563796
1650,108年12月04日 21時03分00秒,屏東縣萬巒鄉萬全村褒忠路段(萬巒高幹94電桿),死亡1;受傷1,自用-小客車;乘客-人,120.573639,22.571729
1677,108年12月10日 07時05分00秒,屏東縣屏東市和平路北側 / 屏東縣屏東市公園西路西側,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.477906,22.675283
1704,108年12月13日 20時55分00秒,屏東縣恆春鎮砂尾路48-8號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.737366,21.957984
1705,108年12月14日 04時09分17秒,屏東縣崁頂鄉屏187線(路燈18M處),死亡1;受傷0,普通重型-機車,120.524112,22.523963
1714,108年12月14日 23時00分10秒,屏東縣林邊鄉水利村豐作路,死亡1;受傷0,自用-小客車,120.506574,22.41948
1724,108年12月16日 12時09分00秒,屏東縣新埤鄉餉潭村沿山公路獅頭一號橋上,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.609489,22.467264
1739,108年12月18日 23時07分22秒,屏東縣九如鄉國道3號 394公里700.0公尺處南側向外側,死亡2;受傷0,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,120.473004,22.757658
1755,108年12月21日 04時35分59秒,屏東縣潮州鎮大同路果菜市場前,死亡1;受傷0,自用-小客車;普通重型-機車,120.529553,22.541968
1774,108年12月24日 13時39分00秒,屏東縣滿州鄉大公路47-2號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.828206,22.075155
1785,108年12月26日 18時24分00秒,屏東縣潮州鎮屏68縣道田寮路電桿(台糖高幹88之分16)處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.526457,22.511383
1791,108年12月28日 04時48分00秒,屏東縣麟洛鄉中山路675號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.51933,22.655293
